postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,longitude,latitude
RH5 4ES,516777,145965,Luvisols,90.0,River Mole,400.0,Mole Valley,-0.3299385468439824,51.20097357865466
RG7 3LR,464948,166969,Planosols,80.0,Clayhill Brook,2200.0,West Berkshire,-1.067810510540503,51.39804588360719
SE24 9QB,532267,174279,Unsurveyed/Urban,30.0,River Thames,5570.0,Southwark,-0.09785110046258913,51.4520530779527
BN7 1PZ,540608,110487,Unsurveyed/Urban,60.0,River Ouse,660.0,Lewes,-0.0028049975760151276,50.87678156287157
GU10 4JL,480528,142813,Planosols,120.0,River Wey,1590.0,East Hampshire,-0.8493432005388254,51.17888972623501
UB4 9WA,511387,182394,Unsurveyed/Urban,30.0,Yeading Brook,2290.0,Hillingdon,-0.39565221766005343,51.529478811807294
PO8 9PD,469561,113112,Luvisols,70.0,River Meon,3800.0,East Hampshire,-1.0119070753858008,50.91329080217303
RG18 0NG,456818,174344,Planosols,110.0,River Pang,3020.0,West Berkshire,-1.1834787176519133,51.46522289552341
RG9 9HX,476113,182461,Luvisols,40.0,River Thames,380.0,Wokingham,-0.9040202117128596,51.53593115891799
PL19 0JU,249191,77321,Cambisols,180.0,River Wallabrook,1160.0,West Devon,-4.131251664837099,50.576109073607
SO31 8LB,447916,109562,Unsurveyed/Urban,20.0,Unknown,250.0,Eastleigh,-1.3202308937696854,50.88356883027069
TA1 2XJ,324936,125263,Unsurveyed/Urban,20.0,River Tone,1810.0,Somerset West and Taunton,-3.071610203146494,51.02181864002575
SE24 9LA,532456,174445,Unsurveyed/Urban,30.0,River Thames,5560.0,Southwark,-0.09507059658667853,51.453500706773006
CR5 1NX,529653,156531,Luvisols,160.0,Unknown,4190.0,Reigate and Banstead,-0.14191805699889312,51.2931574062242
BN11 1TJ,514636,102514,Unsurveyed/Urban,10.0,Unknown,2360.0,Worthing,-0.3742799134822562,50.81084423082809
RG26 3EJ,461457,162380,Podsols,100.0,Silchester Brook,850.0,Basingstoke and Deane,-1.1187767885885007,51.35717632168054
BS18 5TZ,362985,155648,Luvisols,120.0,Unknown,1270.0,Bath and North East Somerset,-2.5322958231619035,51.29874512563956
SN8 2BJ,420313,169078,Leptosols,130.0,River Kennet,320.0,Wiltshire,-1.70926615902237,51.42035442542411
SM7 3NQ,527402,159804,Unsurveyed/Urban,150.0,Unknown,5080.0,Reigate and Banstead,-0.17301599748354432,51.323080081072334
TQ7 3YG,273513,44195,Cambisols,80.0,Ayleston Brook,590.0,South Hams,-3.776760250732138,50.28412589422618
TR1 1AP,183886,45087,Cambisols,30.0,Truro River,1280.0,Cornwall,-5.033817162135357,50.266119232548014
BH15 1TB,401428,90877,Unsurveyed/Urban,10.0,Little Channel,710.0,"Bournemouth, Christchurch and Poole",-1.9811373433290251,50.71751927591432
ME15 7JU,577502,153434,Unsurveyed/Urban,80.0,River Len,1910.0,Maidstone,0.5421623634144732,51.2524460195575
SN11 0PF,399163,166589,Stagnosols,100.0,Unknown,1420.0,Wiltshire,-2.0134201567758265,51.398333400869205
SN10 2JG,402332,163037,Luvisols,130.0,Kennet and Avon Canal,4230.0,Wiltshire,-1.9678905055368117,51.366391549548034
CR9 2UL,532502,165815,Unsurveyed/Urban,60.0,River Wandle,3130.0,Croydon,-0.09763132067194151,51.37593536342802
BS11 0LZ,354089,178147,Unsurveyed/Urban,10.0,River Trym,1950.0,"Bristol, City of",-2.662802454197445,51.50038432651281
EX5 7AS,300505,95065,Cambisols,30.0,Unknown,520.0,East Devon,-3.411608062542679,50.74663504269369
RG26 4YS,459080,162046,Podsols,100.0,Bishop's Wood Stream,1050.0,Basingstoke and Deane,-1.1529651991532208,51.354425118519146
OX44 7TX,460305,198606,Luvisols,60.0,Unknown,1010.0,South Oxfordshire,-1.1291309986976563,51.682985797790735
TW9 1BY,517900,175000,Unsurveyed/Urban,10.0,River Thames,630.0,Richmond upon Thames,-0.304272518956657,51.46170409134175
BS15 9QA,364937,173284,Unsurveyed/Urban,110.0,River Avon,2460.0,South Gloucestershire,-2.5060456310217347,51.45743968806252
BS16 3LQ,363164,174857,Unsurveyed/Urban,60.0,River Frome,1610.0,"Bristol, City of",-2.531727328682898,51.47146977680583
RG6 9LL,473353,173709,Unsurveyed/Urban,40.0,River Thames,910.0,Wokingham,-0.9456222471747919,51.45761601298824
TR11 3XU,181428,32307,Unsurveyed/Urban,0.0,Unknown,1520.0,Cornwall,-5.060897721853221,50.15044241615791
CT6 8LG,616881,168125,Unsurveyed/Urban,10.0,Plenty Brook,1080.0,Swale,1.1145653522435361,51.37074646989739
PO19 3SR,485922,104179,Unsurveyed/Urban,10.0,River Lavant,620.0,Chichester,-0.781328255352065,50.83077904589572
KT5 8SY,518791,166867,Unsurveyed/Urban,30.0,Hogsmill River,380.0,Kingston upon Thames,-0.2941770336407719,51.38842195596721
RG18 9NU,448830,173674,Luvisols,120.0,Unknown,2090.0,West Berkshire,-1.29855074906018,51.45994303589196
TN22 2BW,546415,124359,Luvisols,60.0,Batt's Bridge Stream,1140.0,Wealden,0.08524674980951424,50.99999999283286
TQ13 9RU,277671,75138,Histosols,190.0,River Lemon,760.0,Teignbridge,-3.7285249433391923,50.56315163160146
SO16 3JD,441926,116171,Unsurveyed/Urban,70.0,Unknown,1150.0,Southampton,-1.404617810952202,50.943460766867936
RG14 7HP,447469,166537,Unsurveyed/Urban,80.0,Kennet and Avon Canal,740.0,West Berkshire,-1.3190930146704458,51.3958902072865
SL6 5JG,486106,181317,Stagnosols,70.0,Twyford Brook,3680.0,Windsor and Maidenhead,-0.760257726605756,51.52421365108099
KT13 0RG,507663,163164,Unsurveyed/Urban,30.0,River Wey,1160.0,Elmbridge,-0.45515863077722957,51.357356009025274
SW17 7QL,528062,172940,Unsurveyed/Urban,30.0,River Wandle,2000.0,Wandsworth,-0.15881792672672002,51.44098540030315
BS22 7GB,336196,163963,Cambisols,10.0,River Banwell,1100.0,North Somerset,-2.9179840657944327,51.37112419001503
RG45 7AR,485581,169271,Unsurveyed/Urban,60.0,Unknown,260.0,Bracknell Forest,-0.7707364659847732,51.41600662566079
GU4 8JP,500530,146153,Planosols,50.0,Littlebrook,300.0,Guildford,-0.5623464131798561,51.20575039422327
GU51 4FL,481569,155037,Unsurveyed/Urban,70.0,Unknown,160.0,Hart,-0.8316743862303707,51.28863622810493
BA7 7NW,363999,132198,Cambisols,110.0,River Cary,1870.0,South Somerset,-2.515393693387182,51.08795801924703
BS19 2XS,346115,170403,Unsurveyed/Urban,20.0,Parish Brook,490.0,North Somerset,-2.776485116495515,51.43005484519351
SO40 0SG,430311,107932,Planosols,40.0,Unknown,1100.0,New Forest,-1.5706159876028238,50.870100023297546
SE16 1WH,536300,179400,Unsurveyed/Urban,10.0,River Thames,680.0,Southwark,-0.03787184120629965,51.497116002919554
BA11 3DQ,377196,148287,Unsurveyed/Urban,100.0,River Frome,880.0,Mendip,-2.327998659198453,51.23330693147527
RG13 1JS,447301,167598,Unsurveyed/Urban,80.0,River Kennet,390.0,West Berkshire,-1.3213664738562576,51.40544364164922
RG41 3HU,479751,169283,Unsurveyed/Urban,50.0,Emm Brook,350.0,Wokingham,-0.8545504037115093,51.416963432669895
RG9 1UQ,475501,182564,Luvisols,40.0,River Thames,1040.0,South Oxfordshire,-0.9128200670820359,51.53693916745758
DA5 3DP,549608,173648,Unsurveyed/Urban,20.0,River Cray,1640.0,Bexley,0.1512697758243007,51.442071223159786
EX13 5TN,329700,97100,Luvisols,40.0,Mill Brook,770.0,East Devon,-2.998268359437629,50.76920767928356
RG12 1DE,486989,169337,Unsurveyed/Urban,70.0,Bull Brook,1170.0,Bracknell Forest,-0.750478408851011,51.416385922009326
DA3 8NS,558534,165423,Leptosols,90.0,River Darent,4840.0,Sevenoaks,0.27592461809543173,51.36574789999824
RG3 6AL,468091,173994,Unsurveyed/Urban,70.0,River Thames,1030.0,Reading,-1.0212910315404393,51.46083456129432
TW2 6SS,515400,173200,Unsurveyed/Urban,10.0,Longford River,1010.0,Richmond upon Thames,-0.34082914704725153,51.44604082615151
TA6 4YA,331689,137624,Luvisols,10.0,Bridgwater and Taunton Canal,3560.0,Sedgemoor,-2.9776843197907397,51.13379742975704
BA14 0EP,385240,156703,Unsurveyed/Urban,50.0,Lambrok Stream,1060.0,Wiltshire,-2.213137913993487,51.309247942174004
DA15 8AD,546002,172751,Unsurveyed/Urban,40.0,Wyncham Stream,790.0,Bexley,0.09905252987952382,51.43495138714547
SW8 1DU,530384,177748,Unsurveyed/Urban,10.0,River Thames,1780.0,Lambeth,-0.12365636107878496,51.48366424086758
SW18 1YU,525769,173689,Unsurveyed/Urban,10.0,River Wandle,1050.0,Wandsworth,-0.1915261790832816,51.44822999601658
KT15 1YN,505258,164668,Unsurveyed/Urban,20.0,The Bourne,1220.0,Runnymede,-0.489240853297672,51.37132496558544
BH31 9AD,410557,107663,Gleysols,30.0,Ebblake Stream,380.0,Dorset,-1.8513487880052624,50.86837551542752
PO21 2EH,493327,99837,Unsurveyed/Urban,10.0,Aldingbourne Rife,1250.0,Arun,-0.6773132534424501,50.79059882050229
EX1 3GH,295587,93264,Arenosols,50.0,Pin Brook,1700.0,Mid Devon,-3.4807806918499375,50.7295800932484
BS12 1EX,363965,190691,Unsurveyed/Urban,40.0,Unknown,310.0,South Gloucestershire,-2.521822279470206,51.61388541394948
SO3 3BE,446686,114258,Unsurveyed/Urban,60.0,Unknown,1800.0,Eastleigh,-1.3371152961187873,50.9258947033099
SW18 4WZ,525769,173689,Unsurveyed/Urban,10.0,River Wandle,1070.0,Wandsworth,-0.1915261790832816,51.44822999601658
TN13 9QL,553007,154630,Unsurveyed/Urban,150.0,Unknown,1960.0,Sevenoaks,0.19196565705779706,51.270285850614904
SO20 6QJ,436699,129340,Luvisols,100.0,Unknown,2130.0,Test Valley,-1.4776856555727877,51.062229961160746
SL5 8YY,493767,167833,Podsols,60.0,Unknown,1470.0,Windsor and Maidenhead,-0.6534350791432679,51.401787145711765
RG1 9RE,471613,170786,Unsurveyed/Urban,50.0,Foudry Brook,550.0,Reading,-0.9712521709432029,51.4315604010268
PO19 4HD,487591,104757,Unsurveyed/Urban,10.0,River Lavant,1830.0,Chichester,-0.7574974076700881,50.83572566307193
TN3 0JA,554287,139177,Planosols,40.0,River Grom,1380.0,Tunbridge Wells,0.20366282368664748,51.131091971655366
BS1 9TE,358267,172797,Unsurveyed/Urban,20.0,The Malago,1430.0,"Bristol, City of",-2.6019826974039417,51.45260725378381
KT17 1SA,522031,162541,Unsurveyed/Urban,40.0,Hogsmill River,690.0,Epsom and Ewell,-0.24911986410233328,51.34885542486354
EX6 7HN,281830,86602,Histosols,240.0,Beadon Brook,760.0,Teignbridge,-3.673484951083934,50.66705819480927
SW11 3TX,526534,175823,Unsurveyed/Urban,10.0,River Thames,650.0,Wandsworth,-0.17976069110028126,51.46723797886487
BS37 4YN,371389,182380,Unsurveyed/Urban,80.0,River Frome,260.0,South Gloucestershire,-2.4139268539718364,51.53958811553314
BH17 7TW,402902,93893,Podsols,30.0,Unknown,1750.0,"Bournemouth, Christchurch and Poole",-1.960235436311524,50.74463591360781
SE1 6UB,533378,178838,Unsurveyed/Urban,10.0,Upper Pool,1400.0,Southwark,-0.08015233038892611,51.492761970704315
TQ13 8PR,274734,88024,Histosols,290.0,Wray Brook,990.0,Teignbridge,-3.7743264245853285,50.67835491159855
BN12 6JN,511251,103830,Unsurveyed/Urban,10.0,Ferring Rife,1540.0,Worthing,-0.42190658050021895,50.82333323415475
BS37 7BX,372337,184979,Luvisols,90.0,Unknown,110.0,South Gloucestershire,-2.4004635739738185,51.56300360454494
RG24 4EE,462321,153521,Unsurveyed/Urban,110.0,River Loddon,1750.0,Basingstoke and Deane,-1.1079159052715435,51.27743417452417
GU22 7YB,499800,157800,Unsurveyed/Urban,40.0,Hoe Stream,2100.0,Woking,-0.5695469886162843,51.310573598281174
PO33 4DL,456062,90400,Planosols,40.0,Blackbridge Brook,610.0,Isle of Wight,-1.2073631506069533,50.71053868745309
DT11 7RQ,388637,106506,Unsurveyed/Urban,40.0,River Stour,1740.0,Dorset,-2.162808850967463,50.85795164575046
TQ4 5LD,288409,60415,Unsurveyed/Urban,20.0,Unknown,960.0,Teignbridge,-3.5725764123290324,50.432948967305606
TN9 2DR,559635,145833,Unsurveyed/Urban,30.0,Botany Stream,530.0,Tonbridge and Malling,0.2829826490943946,51.18943074030112
RG4 9RJ,470936,180104,Luvisols,50.0,Berry Brook,5430.0,South Oxfordshire,-0.9791212604608243,51.515414979584534
SL6 3GS,489271,180741,Stagnosols,30.0,White Brook,3120.0,Windsor and Maidenhead,-0.7147951425735901,51.5185451114606
RH15 0NG,532787,119523,Unsurveyed/Urban,40.0,Unknown,780.0,Mid Sussex,-0.11061783746455217,50.9598407859173
SE5 5DJ,532295,176697,Unsurveyed/Urban,10.0,River Thames,3960.0,Southwark,-0.09654441943418424,51.47377603886827
PL23 1AQ,212630,51760,Cambisols,10.0,River Fowey,580.0,Cornwall,-4.634285380891017,50.33589319776793
SE5 7WG,532295,176697,Unsurveyed/Urban,10.0,River Thames,3960.0,Southwark,-0.09654441943418424,51.47377603886827
TW3 9BZ,513939,175863,Unsurveyed/Urban,20.0,River Crane,640.0,Hounslow,-0.3609859842304068,51.47027098164096
DA14 4BQ,546322,171893,Unsurveyed/Urban,60.0,Wyncham Stream,1610.0,Bexley,0.10329871226390838,51.42715934123303
TA4 2RP,309991,130604,Luvisols,130.0,Unknown,300.0,Somerset West and Taunton,-3.2859670231238955,51.0676852661342
BS12 3BB,357417,189110,Luvisols,10.0,Foss Ditch,1060.0,South Gloucestershire,-2.6161919714861197,51.59921240892589
EX14 1JR,316126,100593,Unsurveyed/Urban,100.0,The Gissage,530.0,East Devon,-3.191514225561142,50.798805458772705
BN3 6NU,529849,105989,Unsurveyed/Urban,70.0,River Adur,6520.0,Brighton and Hove,-0.1572367888808036,50.838869874200945
SW2 4PT,530300,173400,Unsurveyed/Urban,50.0,River Thames,4980.0,Lambeth,-0.126466456573242,51.444609391684224
BH20 9BF,392582,88553,Histosols,10.0,Unknown,1350.0,Dorset,-2.106392814292848,50.69657295433318
BH25 5WW,424066,95449,Unsurveyed/Urban,40.0,Unknown,360.0,New Forest,-1.6601776108195576,50.75814083839775
TR11 3DG,180777,32994,Unsurveyed/Urban,0.0,Penryn River,1390.0,Cornwall,-5.070391975347234,50.156371715847186
SE12 0WZ,542733,174310,Unsurveyed/Urban,30.0,Quaggy River,1130.0,Greenwich,0.05268428188813701,51.44979248279364
SO32 3PP,460787,114640,Stagnosols,70.0,River Meon,950.0,Winchester,-1.136441663665372,50.928018674379764
CR3 6LU,534215,155966,Unsurveyed/Urban,140.0,Unknown,3780.0,Tandridge,-0.07674147093690631,51.28702390748994
BS4 5RQ,363026,170256,Cambisols,60.0,River Avon,620.0,"Bristol, City of",-2.5332316860251076,51.43009247115962
SE6 4TX,537700,173900,Unsurveyed/Urban,20.0,Ravensbourne River,190.0,Lewisham,-0.019857851577764207,51.447353329056504
SN11 0HS,399833,171004,Unsurveyed/Urban,70.0,River Marden,300.0,Wiltshire,-2.003792959772994,51.43803199825783
GU14 7DW,488100,154812,Unsurveyed/Urban,70.0,Blackwater River,620.0,Rushmoor,-0.7380978475780661,51.285642023643085
PL8 1BX,254764,48063,Cambisols,30.0,Long Brook,610.0,South Hams,-4.0412490803337,50.31457053175888
TQ12 5YB,287235,66079,Cambisols,60.0,Unknown,1080.0,Teignbridge,-3.590807356809417,50.483641555422764
KT2 5ED,518292,169669,Unsurveyed/Urban,10.0,River Thames,370.0,Kingston upon Thames,-0.3004118105802479,51.41370950716167
SE9 3UG,544579,172463,Unsurveyed/Urban,50.0,Wyncham Stream,350.0,Bexley,0.07847775939556773,51.43272812244299
BS40 8EW,354125,165034,Leptosols,100.0,Unknown,840.0,North Somerset,-2.6605801013327595,51.382488882031474
TQ1 9EW,290155,66144,Unsurveyed/Urban,60.0,Unknown,840.0,Teignbridge,-3.5496845907152466,50.48478109262565
UB4 9QS,512104,182257,Unsurveyed/Urban,30.0,Yeading Brook,1800.0,Hillingdon,-0.38536399275723215,51.52810573140532
SE15 1SS,535100,177600,Unsurveyed/Urban,10.0,River Thames,2590.0,Southwark,-0.05583637538300965,51.48122846068446
BA14 0FL,386254,155213,Planosols,40.0,River Biss,660.0,Wiltshire,-2.198532925394773,51.29587589082689
PO36 9YX,459022,83943,Luvisols,20.0,Scotchells Brook,980.0,Isle of Wight,-1.1664743844293775,50.652186347641646
BS11 9AX,351511,178193,Unsurveyed/Urban,10.0,River Avon,1040.0,"Bristol, City of",-2.6999454507519323,51.500582090857726
HA6 9EH,509824,190617,Unsurveyed/Urban,70.0,Yeading Brook,1090.0,Hillingdon,-0.4156079888237876,51.60369236731387
PO2 0BN,464918,102300,Unsurveyed/Urban,10.0,Unknown,1960.0,Gosport,-1.079856711116087,50.81661707784019
BS8 2LS,357849,173808,Unsurveyed/Urban,60.0,River Trym,1140.0,"Bristol, City of",-2.6081187256054497,51.46166612653166
PO21 3JW,489605,98725,Unsurveyed/Urban,10.0,Pagham Rife,1260.0,Arun,-0.7303748717652923,50.78118811774969
GU14 6DY,487584,153965,Unsurveyed/Urban,70.0,Unknown,800.0,Rushmoor,-0.7457023712565217,51.27810727231521
SO1 5EN,440646,113435,Unsurveyed/Urban,20.0,Unknown,1110.0,Southampton,-1.4231399851234685,50.918950376660895
GU11 9WF,486560,150681,Unsurveyed/Urban,90.0,Blackwater River,1660.0,Rushmoor,-0.7611734603447202,51.248741314050655
CR2 6TG,532904,165801,Unsurveyed/Urban,60.0,River Wandle,3530.0,Croydon,-0.09186414748980762,51.375715675785834
PO33 1HX,459774,91459,Luvisols,30.0,Monktonmead Brook,390.0,Isle of Wight,-1.1546250883072533,50.71969177351063
GU14 7XB,487203,154118,Unsurveyed/Urban,80.0,Blackwater River,1650.0,Rushmoor,-0.7511260403334922,51.27954105945357
SW14 7WA,520532,175905,Unsurveyed/Urban,0.0,River Thames,970.0,Richmond upon Thames,-0.26609620247215904,51.469283888193544
PL2 2YS,245918,57109,Unsurveyed/Urban,40.0,River Tamar,1140.0,Plymouth,-4.16910603836184,50.393617929963796
DA6 7HG,548921,175088,Unsurveyed/Urban,50.0,Unknown,1590.0,Bexley,0.14199772480275805,51.45519087731182
BN3 3FW,528984,105133,Unsurveyed/Urban,20.0,River Adur,5530.0,Brighton and Hove,-0.16981589123806645,50.83136950150129
TR13 0AL,163907,32403,Histosols,100.0,Unknown,1750.0,Cornwall,-5.305797845575379,50.1445862832778
BA3 2EX,366461,153957,Arenosols,100.0,Wellow Brook,1130.0,Bath and North East Somerset,-2.4822817523550134,51.2837566641831
RG26 5XY,470135,173949,Unsurveyed/Urban,40.0,River Thames,1640.0,Reading,-0.9918834793945704,51.460180838914155
BH24 2QX,410896,103536,Podsols,20.0,Moors River,1610.0,Dorset,-1.846652923850057,50.8312575033854
RG20 9NJ,448395,157694,Luvisols,130.0,Unknown,2150.0,Basingstoke and Deane,-1.3069844440128515,51.31630450957374
GU1 4PA,499682,150238,Luvisols,40.0,River Wey,610.0,Guildford,-0.5733463066379993,51.24261932511494
BS24 0AP,332359,155705,Gleysols,10.0,River Axe,1810.0,North Somerset,-2.9715264280201605,51.29643638089858
SE6 1JL,539687,173170,Unsurveyed/Urban,30.0,Ravensbourne River,2750.0,Lewisham,0.008428917038198792,51.44030734466832
PO2 7EE,464964,101641,Unsurveyed/Urban,10.0,Unknown,2250.0,Portsmouth,-1.0793202996163487,50.8106866197897
RH14 9UN,508932,125106,Planosols,20.0,Par Brook,1070.0,Horsham,-0.44846967659245757,51.0150252847634
TR13 9EJ,163081,25349,Cambisols,10.0,Unknown,960.0,Cornwall,-5.312960547931762,50.08092217545896
SO40 9GR,436244,112544,Unsurveyed/Urban,10.0,Bartley Water,220.0,New Forest,-1.4858484299663755,50.9112309275122
SL5 7ET,492580,168602,Planosols,80.0,Blackmoor Stream,1080.0,Windsor and Maidenhead,-0.6702934568073529,51.40889457081557
GU21 6JN,500603,158784,Unsurveyed/Urban,40.0,Basingstoke Canal,930.0,Woking,-0.5577528745675526,51.319277445861836
SW9 9RF,530614,175776,Unsurveyed/Urban,20.0,River Thames,3400.0,Lambeth,-0.12107425528051739,51.4658895233622
