postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,longitude,latitude,postcodeSector,postcodeDistrict
PL1 9BP,250426,53731,Unsurveyed/Urban,10,Pomphlett Lake,270.0,Plymouth,-4.10438565437631,50.36442451313633,PL1 9,PL1
RG3 6EB,467455,174345,Unsurveyed/Urban,60,River Thames,850.0,Reading,-1.0303773290379061,51.46406615728046,RG3 6,RG3
RG21 4DL,464733,152163,Unsurveyed/Urban,90,River Loddon,1220.0,Basingstoke and Deane,-1.073586373364741,51.26495641745184,RG21 4,RG21
GU31 5YA,473200,120900,Cambisols,90,River Rother,1340.0,East Hampshire,-0.9585901774388399,50.98286206036007,GU31 5,GU31
SW2 9NG,530563,174473,Unsurveyed/Urban,30,River Thames,4550.0,Lambeth,-0.12228868407539015,51.45419162102691,SW2 9,SW2
TA7 8BY,332107,141779,Unsurveyed/Urban,10,King's Sedgemoor Drain,1880.0,Sedgemoor,-2.9724963221115877,51.171203602066704,TA7 8,TA7
SP4 0BY,420418,139516,Cambisols,80,River Bourne,7540.0,Wiltshire,-1.7094368972181233,51.154538761959195,SP4 0,SP4
PO13 0DS,458418,102194,Unsurveyed/Urban,10,River Alver,920.0,Gosport,-1.1721302650456549,50.81635486780308,PO13 0,PO13
PO4 0TS,465000,98100,Unsurveyed/Urban,10,Unknown,3360.0,Portsmouth,-1.079434910949817,50.77884406662324,PO4 0,PO4
SM2 7QA,524656,162651,Unsurveyed/Urban,70,Hogsmill River,3040.0,Sutton,-0.21140798359556084,51.34927485714061,SM2 7,SM2
BS40 8UW,355789,162110,Luvisols,60,Babylon Brook,550.0,Bath and North East Somerset,-2.636306547183799,51.356331271459666,BS40 8,BS40
KT5 8PY,518662,167492,Unsurveyed/Urban,30,Unknown,1020.0,Kingston upon Thames,-0.2958213869925946,51.39406619942608,KT5 8,KT5
PO8 9QD,468588,112083,Stagnosols,70,Hermitage Stream,3190.0,Havant,-1.025938347007853,50.904155245409434,PO8 9,PO8
TW3 1BW,513900,175700,Unsurveyed/Urban,20,River Crane,2080.0,Hounslow,-0.36159970741487973,51.46881380869724,TW3 1,TW3
EX39 3DH,244645,126006,Unsurveyed/Urban,70,River Torridge,830.0,Torridge,-4.2160080698121565,51.01239469130541,EX39 3,EX39
SL5 7PY,494695,168660,Luvisols,60,Unknown,1720.0,Windsor and Maidenhead,-0.6398780614435696,51.40906713293124,SL5 7,SL5
TW5 9PT,511578,177492,Unsurveyed/Urban,30,River Crane,1870.0,Hounslow,-0.39444933624098444,51.48538237774002,TW5 9,TW5
TW1 4PU,515568,172122,Unsurveyed/Urban,10,River Crane,1900.0,Richmond upon Thames,-0.3387643589014572,51.436317785961435,TW1 4,TW1
SO22 4AR,447329,128361,Unsurveyed/Urban,50,Lady Lake,530.0,Winchester,-1.3261342513482595,51.052651431435955,SO22 4,SO22
TN4 9WF,559924,142133,Planosols,70,Unknown,400.0,Tunbridge Wells,0.285470099324762,51.156106235271565,TN4 9,TN4
SE24 0PW,531300,175200,Unsurveyed/Urban,20,River Thames,4250.0,Lambeth,-0.1114180788293449,51.46055463244178,SE24 0,SE24
RG16 7TJ,431098,175540,Luvisols,200,River Lambourn,4830.0,West Berkshire,-1.55360411813409,51.4779690907214,RG16 7,RG16
TN22 3BH,546787,127874,Luvisols,140,Mill Brook,1320.0,Wealden,0.09196565308472897,51.03149185043759,TN22 3,TN22
SO18 1JZ,444236,114416,Unsurveyed/Urban,20,River Itchen,1750.0,Southampton,-1.3719529180175964,50.92750800177278,SO18 1,SO18
RG1 2XS,471321,174026,Unsurveyed/Urban,40,River Thames,540.0,Reading,-0.9747998627189968,51.46072511981309,RG1 2,RG1
DT11 7HS,388737,106993,Unsurveyed/Urban,60,River Stour,1580.0,Dorset,-2.161403255594291,50.86233292950497,DT11 7,DT11
PL2 1BS,245846,55631,Unsurveyed/Urban,60,Ham Brook,1980.0,Plymouth,-4.1695117698267055,50.3803166522887,PL2 1,PL2
CR0 3AG,530105,167228,Unsurveyed/Urban,40,Unknown,1940.0,Croydon,-0.13153390204625542,51.38918764103183,CR0 3,CR0
SM7 3RU,525900,159700,Unsurveyed/Urban,160,Unknown,5870.0,Reigate and Banstead,-0.1945966325051462,51.322479517963686,SM7 3,SM7
BA1 2ZA,375350,164482,Unsurveyed/Urban,20,River Avon,1780.0,Bath and North East Somerset,-2.355562215719214,51.378848596320246,BA1 2,BA1
BH24 3ZD,416376,105663,Unsurveyed/Urban,20,Lin Brook,920.0,New Forest,-1.7687467451491263,50.85025634305583,BH24 3,BH24
EX4 1JG,290859,91792,Unsurveyed/Urban,10,River Exe,1340.0,Exeter,-3.5473096391647885,50.715477763573546,EX4 1,EX4
RH13 9DP,516481,126550,Planosols,50,Horn Brook,720.0,Horsham,-0.34043650681608667,51.02652665682905,RH13 9,RH13
EX17 4TN,277479,111551,Cambisols,180,River Dalch,1230.0,Mid Devon,-3.7433438177500196,50.89041039332209,EX17 4,EX17
PL2 1RZ,245364,55841,Unsurveyed/Urban,30,Ham Brook,1580.0,Plymouth,-4.176372261375284,50.38207724633336,PL2 1,PL2
CR3 4AS,534428,155136,Unsurveyed/Urban,140,Unknown,3090.0,Tandridge,-0.07400095518227233,51.279514747806736,CR3 4,CR3
BN17 7GX,502114,103774,Luvisols,10,Black Ditch,870.0,Arun,-0.5515965038953115,50.82451157461012,BN17 7,BN17
TR20 8TN,145425,28581,Cambisols,80,Newlyn Coombe River,1040.0,Cornwall,-5.561418451043638,50.10263405347845,TR20 8,TR20
BA6 9PF,349755,138988,Unsurveyed/Urban,20,River Brue,330.0,Mendip,-2.7197004855741063,51.14793545892035,BA6 9,BA6
SE23 2YN,535421,172625,Unsurveyed/Urban,50,Pool River,1730.0,Lewisham,-0.05311996523542348,51.436444790404096,SE23 2,SE23
RG25 2BA,456089,145050,Luvisols,140,River Test,6620.0,Basingstoke and Deane,-1.1985755425308344,51.20191793921628,RG25 2,RG25
RH10 9UB,526889,136881,Unsurveyed/Urban,70,Gatwick Stream,3050.0,Crawley,-0.18847956155657197,51.1171769743275,RH10 9,RH10
TN22 1PL,546550,120775,Luvisols,20,River Uck,170.0,Wealden,0.08572525327042314,50.967758773409194,TN22 1,TN22
KT17 3AT,522074,160953,Unsurveyed/Urban,70,Hogsmill River,1900.0,Epsom and Ewell,-0.24904669001585658,51.33457404120508,KT17 3,KT17
GU13 8SQ,480595,154342,Unsurveyed/Urban,80,Unknown,1500.0,Hart,-0.8457952259502576,51.28252667648781,GU13 8,GU13
BA1 7RP,378716,166651,Cambisols,40,River Avon,870.0,Bath and North East Somerset,-2.3073306904604745,51.398488043426504,BA1 7,BA1
GU15 9EG,486025,159806,Unsurveyed/Urban,60,Blackwater River,420.0,Surrey Heath,-0.7666415064311668,51.330853233450945,GU15 9,GU15
DA12 2WN,565041,174030,Unsurveyed/Urban,20,River Thames,950.0,Gravesham,0.37331294959341005,51.441220428079575,DA12 2,DA12
SE23 1PA,536158,174233,Unsurveyed/Urban,40,Ravensbourne River,1390.0,Lewisham,-0.0419055372503669,51.45071826978659,SE23 1,SE23
TN27 9ZQ,585210,145059,Planosols,30,River Sherway,1360.0,Maidstone,0.6481701381026241,51.17477014979545,TN27 9,TN27
GU1 2XA,502600,150600,Unsurveyed/Urban,80,Unknown,1920.0,Guildford,-0.5314541435570365,51.24535653533508,GU1 2,GU1
SE28 8BQ,546984,180395,Unsurveyed/Urban,0,River Thames,710.0,Greenwich,0.11634592826065106,51.503381960077526,SE28 8,SE28
SE10 9YS,540202,178646,Unsurveyed/Urban,10,Woolwich Reach,2960.0,Greenwich,0.01800365388910216,51.489387248321655,SE10 9,SE10
BN50 9HR,531040,104624,Unsurveyed/Urban,30,River Adur,7560.0,Brighton and Hove,-0.14081904804802858,50.8263333636325,BN50 9,BN50
PO21 1LQ,493700,99000,Unsurveyed/Urban,10,Aldingbourne Rife,1250.0,Arun,-0.6722360642640921,50.783013964202794,PO21 1,PO21
ME2 2HT,572036,168616,Unsurveyed/Urban,50,Wickham Reach,1520.0,Medway,0.4712372255361149,51.390505778891054,ME2 2,ME2
BH23 4BP,418563,92461,Unsurveyed/Urban,0,Bure Brook,810.0,"Bournemouth, Christchurch and Poole",-1.7383434308781416,50.73147217381433,BH23 4,BH23
PO22 6BD,496584,101151,Luvisols,0,Ryebank Rife,650.0,Arun,-0.6307740886290568,50.801878772462466,PO22 6,PO22
SE11 5SS,531011,177685,Unsurveyed/Urban,10,River Thames,2360.0,Lambeth,-0.11465516395744454,51.48295332842627,SE11 5,SE11
SO41 8WN,432271,95427,Unsurveyed/Urban,20,Avon Water,240.0,New Forest,-1.543858976063972,50.757546346924876,SO41 8,SO41
TR14 9JY,165568,37459,Histosols,150,Red River,890.0,Cornwall,-5.2857050392381515,50.19064180659233,TR14 9,TR14
PL25 3PD,203237,52814,Cambisols,50,St Austell River,650.0,Cornwall,-4.7666671092475585,50.34229736845846,PL25 3,PL25
TR18 2JP,147247,30227,Unsurveyed/Urban,30,Larriggan River,2080.0,Cornwall,-5.537080102704748,50.118187520179845,TR18 2,TR18
BA1 5BL,375122,165550,Unsurveyed/Urban,30,River Avon,760.0,Bath and North East Somerset,-2.3589132375402686,51.38844148939765,BA1 5,BA1
RG4 5BX,472448,174484,Unsurveyed/Urban,40,River Thames,680.0,Reading,-0.9584870263005314,51.46469965524647,RG4 5,RG4
TR2 4HA,191387,54363,Cambisols,80,Unknown,600.0,Cornwall,-4.933839982543333,50.35213025985274,TR2 4,TR2
SL6 2WD,489271,180742,Luvisols,30,White Brook,1700.0,Windsor and Maidenhead,-0.7147948895848886,51.5185541006319,SL6 2,SL6
RH1 1UF,528063,150528,Unsurveyed/Urban,80,Redhill Brook,1200.0,Reigate and Banstead,-0.16685696505909572,51.2395666391092,RH1 1,RH1
BS99 5NH,360204,173429,Unsurveyed/Urban,20,River Frome,820.0,"Bristol, City of",-2.574179627301349,51.45842947678411,BS99 5,BS99
SL4 9EW,496593,176716,Unsurveyed/Urban,30,Bourne Ditch,1020.0,Windsor and Maidenhead,-0.6104012973068589,51.48116202902306,SL4 9,SL4
BH2 6AE,407944,91303,Unsurveyed/Urban,30,The Bourne,180.0,"Bournemouth, Christchurch and Poole",-1.8888297102117164,50.72129889441801,BH2 6,BH2
BH11 8RP,406106,94351,Unsurveyed/Urban,50,River Stour,580.0,"Bournemouth, Christchurch and Poole",-1.9148173732977811,50.74873031207447,BH11 8,BH11
TR20 8SZ,144991,32171,Histosols,130,Larriggan River,1490.0,Cornwall,-5.5698738901954306,50.13467222574184,TR20 8,TR20
BN21 1XR,559331,101038,Unsurveyed/Urban,40,Willingdon and West Langney Sewer,980.0,Eastbourne,0.25900700972849044,50.7870234831092,BN21 1,BN21
PL12 6XP,241639,59642,Cambisols,40,Latchbrook Leat,1140.0,Cornwall,-4.230327421118968,50.41524252050157,PL12 6,PL12
TR19 6AU,144664,29075,Cambisols,40,Newlyn Coombe River,210.0,Cornwall,-5.572368911842953,50.10674158442279,TR19 6,TR19
SE1 0XL,531704,180192,Unsurveyed/Urban,10,River Thames,470.0,Southwark,-0.1037461621436551,51.5053218048884,SE1 0,SE1
BS40 5HN,346315,160840,Planosols,20,Langford Brook,80.0,North Somerset,-2.772159585945801,51.34409467449625,BS40 5,BS40
KT21 1EY,519473,157744,Luvisols,100,The Rye,3350.0,Mole Valley,-0.287439729271668,51.30628439310745,KT21 1,KT21
SE24 0BH,532010,175069,Unsurveyed/Urban,20,River Thames,4790.0,Lambeth,-0.10125299250903627,51.459212406365296,SE24 0,SE24
RG21 4HB,464328,152904,Unsurveyed/Urban,100,River Loddon,930.0,Basingstoke and Deane,-1.079257213253921,51.2716642680316,RG21 4,RG21
TQ4 9DA,288792,60830,Unsurveyed/Urban,10,Unknown,1210.0,Torbay,-3.5673090768491766,50.436752465201614,TQ4 9,TQ4
SM1 1BU,525800,163800,Unsurveyed/Urban,60,Pyl Brook,4110.0,Sutton,-0.19458370099283248,51.35934932744289,SM1 1,SM1
DA4 9LL,555502,167822,Gleysols,50,River Darent,1300.0,Sevenoaks,0.23345540331247755,51.38814001508513,DA4 9,DA4
BS15 1LG,364369,174482,Unsurveyed/Urban,110,River Frome,2860.0,"Bristol, City of",-2.5143415198575307,51.46817551191503,BS15 1,BS15
SE16 5WY,534244,179253,Unsurveyed/Urban,10,Upper Pool,1080.0,Southwark,-0.0675279398246039,51.496286542623125,SE16 5,SE16
SO16 8ZX,440100,112800,Unsurveyed/Urban,10,Tanner's Brook,1280.0,Southampton,-1.4309765994094126,50.91327860098404,SO16 8,SO16
EX5 7DA,300055,94811,Arenosols,30,Unknown,980.0,East Devon,-3.4179152883013524,50.74427423197703,EX5 7,EX5
PO9 1XP,472039,106225,Unsurveyed/Urban,10,Unknown,760.0,Havant,-0.978020108574895,50.85106638266432,PO9 1,PO9
PO12 1HQ,462244,99607,Unsurveyed/Urban,0,Fareham Lake,660.0,Gosport,-1.1182650190369616,50.792696095702055,PO12 1,PO12
RH19 2BZ,539088,139355,Unsurveyed/Urban,110,Felbridge Water,820.0,Mid Sussex,-0.013342407938254142,51.13658135069351,RH19 2,RH19
TN2 9JT,559924,142133,Planosols,70,Unknown,400.0,Tunbridge Wells,0.285470099324762,51.156106235271565,TN2 9,TN2
TW18 3LJ,503308,169594,Unsurveyed/Urban,20,River Thames,880.0,Runnymede,-0.5158125103742728,51.415960584028355,TW18 3,TW18
TN11 9AB,557131,148280,Planosols,30,Hilden Brook,1030.0,Tonbridge and Malling,0.24825077189801037,51.212110375870395,TN11 9,TN11
BR3 4DH,536340,168622,Unsurveyed/Urban,30,Unknown,480.0,Bromley,-0.04144512747393701,51.40025230006881,BR3 4,BR3
PO36 8NT,459203,83506,Luvisols,30,Scotchells Brook,1260.0,Isle of Wight,-1.1639840836962783,50.64823858876867,PO36 8,PO36
RH4 2AF,516881,148527,Cambisols,100,Bents Brook,1180.0,Mole Valley,-0.32761663195792495,51.22397978382576,RH4 2,RH4
DT11 7EN,388949,106284,Unsurveyed/Urban,40,River Stour,1000.0,Dorset,-2.158369376738955,50.85596143676418,DT11 7,DT11
SO52 9PF,439220,119794,Unsurveyed/Urban,50,Tanner's Brook,1090.0,Test Valley,-1.4427423689260936,50.97622823064009,SO52 9,SO52
SE11 4TD,531768,179002,Unsurveyed/Urban,10,River Thames,1620.0,Southwark,-0.10326861439957807,51.494612927150634,SE11 4,SE11
TQ13 7NR,273160,69904,Histosols,90,River Dart,1000.0,South Hams,-3.790400516443404,50.515142961054295,TQ13 7,TQ13
BA2 8BS,371583,159610,Cambisols,70,Cam Brook,1120.0,Bath and North East Somerset,-2.4092946887277567,51.33486538614511,BA2 8,BA2
BS22 8LT,333915,161471,Unsurveyed/Urban,10,Uphill Great Rhyne,1550.0,North Somerset,-2.9502838408489613,51.34845865976425,BS22 8,BS22
SO3 3FU,447025,114560,Unsurveyed/Urban,50,Unknown,1750.0,Eastleigh,-1.3322534306436293,50.92858274044726,SO3 3,SO3
SN14 8JJ,377248,173729,Leptosols,190,St Catherine's Brook,2700.0,South Gloucestershire,-2.3288887128876543,51.46207205513587,SN14 8,SN14
SE1P 5WL,533378,178838,Unsurveyed/Urban,10,Upper Pool,1400.0,Southwark,-0.08015233038892611,51.492761970704315,SE1P 5,SE1P
TN26 2BT,596974,131607,Luvisols,20,Royal Military Canal,3280.0,Ashford,0.8089121575699088,51.05002690689292,TN26 2,TN26
RH10 1ST,528196,137787,Unsurveyed/Urban,70,Gatwick Stream,1760.0,Crawley,-0.16949441126271245,51.12502896367717,RH10 1,RH10
SL6 7ZB,489271,180742,Luvisols,30,White Brook,1700.0,Windsor and Maidenhead,-0.7147948895848886,51.5185541006319,SL6 7,SL6
BS12 7AH,360541,179509,Unsurveyed/Urban,60,Unknown,1190.0,South Gloucestershire,-2.570010908502927,51.51311866164509,BS12 7,BS12
SM7 2HX,525225,158885,Unsurveyed/Urban,160,Unknown,5670.0,Reigate and Banstead,-0.20456444196356763,51.31530370428056,SM7 2,SM7
RH1 4AB,528212,150643,Unsurveyed/Urban,80,Redhill Brook,1180.0,Reigate and Banstead,-0.1646825519635956,51.240566738662146,RH1 4,RH1
EX14 8RF,315540,100181,Unsurveyed/Urban,110,The Gissage,570.0,East Devon,-3.1997325745394876,50.795016110774434,EX14 8,EX14
TN12 9EW,574786,144409,Luvisols,30,Lesser Teise,2320.0,Maidstone,0.4988886929711723,51.17220970154831,TN12 9,TN12
BH1 9JE,409722,92041,Unsurveyed/Urban,40,The Bourne,1960.0,"Bournemouth, Christchurch and Poole",-1.8636232749384183,50.72790878459806,BH1 9,BH1
SP1 1HW,414785,129988,Unsurveyed/Urban,50,River Avon,1180.0,Wiltshire,-1.7903661965350177,51.069035104932745,SP1 1,SP1
PL1 1FR,247600,54400,Unsurveyed/Urban,10,River Plym,1770.0,Plymouth,-4.1443614116681,50.36971119828643,PL1 1,PL1
GU21 4AP,500345,159197,Unsurveyed/Urban,30,Basingstoke Canal,750.0,Woking,-0.5613377366955559,51.323035376950266,GU21 4,GU21
DA11 0LS,564062,173282,Unsurveyed/Urban,20,River Thames,1820.0,Gravesham,0.35889309482628295,51.43478461525536,DA11 0,DA11
TR1 2GQ,182244,44660,Unsurveyed/Urban,20,River Kenwyn,410.0,Cornwall,-5.056577012986407,50.261681174996916,TR1 2,TR1
SL6 7NA,487919,181978,Unsurveyed/Urban,50,White Brook,1210.0,Windsor and Maidenhead,-0.7339670811916484,51.529876566009534,SL6 7,SL6
SE5 7RA,532974,177055,Unsurveyed/Urban,10,River Thames,4410.0,Southwark,-0.08663907516057331,51.476834171031626,SE5 7,SE5
PO36 8EB,460167,84937,Gleysols,10,Scotchells Brook,210.0,Isle of Wight,-1.150118576969235,50.6610072560917,PO36 8,PO36
TN19 7PY,573786,126062,Luvisols,90,River Rother,1510.0,Rother,0.4757782177515735,51.00769089268538,TN19 7,TN19
SO50 9UJ,444617,119991,Luvisols,20,Monks Brook,230.0,Eastleigh,-1.3658506070554246,50.977607794086175,SO50 9,SO50
TN25 7FP,602517,139593,Gleysols,40,East Stour River,240.0,Ashford,0.8923621674651702,51.11982039211025,TN25 7,TN25
TA24 5SN,296488,146570,Unsurveyed/Urban,60,River Avill,1060.0,Somerset West and Taunton,-3.4832077573563227,51.20892503981479,TA24 5,TA24
BS40 8FG,356058,161754,Luvisols,60,Babylon Brook,430.0,Bath and North East Somerset,-2.6323995718123663,51.35315135082588,BS40 8,BS40
SN11 9AZ,399843,171991,Leptosols,80,Abberd Brook,1270.0,Wiltshire,-2.003649851987408,51.44690666517,SN11 9,SN11
TN14 5WQ,552989,154629,Unsurveyed/Urban,150,River Darent,1950.0,Sevenoaks,0.19170740261302718,51.27028169371691,TN14 5,TN14
SO9 4TH,442900,111500,Unsurveyed/Urban,10,River Itchen,1460.0,Southampton,-1.3913032341019547,50.90138837784166,SO9 4,SO9
KT10 8QQ,513391,165028,Unsurveyed/Urban,30,River Mole,500.0,Elmbridge,-0.3723354146779009,51.372996554879464,KT10 8,KT10
TR27 4SA,156253,37334,Unsurveyed/Urban,30,River Hayle,760.0,Cornwall,-5.415885345460266,50.18575798971507,TR27 4,TR27
BA1 2AH,374775,164832,Unsurveyed/Urban,20,River Avon,1160.0,Bath and North East Somerset,-2.363848671720629,51.3819702324036,BA1 2,BA1
TW9 1ET,517800,174800,Unsurveyed/Urban,10,River Thames,290.0,Richmond upon Thames,-0.30577786177064864,51.45992737324659,TW9 1,TW9
PO14 9GQ,457310,105177,Unsurveyed/Urban,10,Heavy Reach,1910.0,Fareham,-1.1873911071124803,50.843287290082074,PO14 9,PO14
SW16 6HG,530004,171514,Unsurveyed/Urban,50,River Wandle,4560.0,Lambeth,-0.13141503365445528,51.42772829199859,SW16 6,SW16
GU28 9ND,496234,126419,Luvisols,60,River Rother,1410.0,Chichester,-0.6290818552552101,51.029091310235096,GU28 9,GU28
RG19 3SA,451016,167430,Planosols,80,River Kennet,260.0,West Berkshire,-1.267986400256907,51.40361190883533,RG19 3,RG19
TN34 9BZ,581387,109639,Unsurveyed/Urban,10,Hollington Stream,420.0,Hastings,0.5758415156003989,50.85781486808542,TN34 9,TN34
EX9 6NN,306503,81941,Cambisols,10,Unknown,1540.0,East Devon,-3.3232930787165467,50.62964433415856,EX9 6,EX9
RG30 3XT,468017,170487,Luvisols,40,River Kennet,350.0,West Berkshire,-1.0230289052341486,51.42931467393563,RG30 3,RG30
TR10 8EA,178501,34733,Cambisols,20,Penryn River,230.0,Cornwall,-5.103217896596991,50.171142295696804,TR10 8,TR10
TW8 8EE,517394,177414,Unsurveyed/Urban,10,River Brent,90.0,Hounslow,-0.3107515644589316,51.48350521627073,TW8 8,TW8
PO6 2LA,467086,104933,Unsurveyed/Urban,0,Unknown,1400.0,Portsmouth,-1.0486054112328678,50.84004441233157,PO6 2,PO6
KT11 1BY,510576,160928,Luvisols,20,River Mole,1110.0,Elmbridge,-0.4140337915735185,51.33669938282852,KT11 1,KT11
EX19 8EW,262700,108900,Stagnosols,170,Beaford Brook,3100.0,Torridge,-3.9523482388251994,50.86325885435393,EX19 8,EX19
SW3 9GB,529383,175459,Unsurveyed/Urban,20,River Thames,3280.0,Lambeth,-0.1389015249977305,51.46332322056347,SW3 9,SW3
EX6 7LN,280344,86720,Histosols,290,Rookery Brook,570.0,Teignbridge,-3.694540504275603,50.66781508217845,EX6 7,EX6
BR3 3HF,536987,167676,Unsurveyed/Urban,50,Unknown,740.0,Bromley,-0.03251490791265186,51.39159551073139,BR3 3,BR3
ME1 2AJ,574979,166665,Unsurveyed/Urban,70,Tower Reach,2150.0,Medway,0.5125325551464465,51.3720808525905,ME1 2,ME1
UB8 1AE,505389,183985,Unsurveyed/Urban,40,Fray's River,920.0,Hillingdon,-0.48160930660748064,51.544929240642105,UB8 1,UB8
TW12 9AQ,513447,169655,Unsurveyed/Urban,10,River Thames,1000.0,Richmond upon Thames,-0.3700539455076088,51.41457280910917,TW12 9,TW12
GU27 1AW,489385,132908,Podsols,140,River Wey,270.0,Waverley,-0.7251206349403533,51.08853145962506,GU27 1,GU27
RG31 6GD,466129,175610,Unsurveyed/Urban,70,River Thames,1010.0,West Berkshire,-1.0492259294222068,51.475595074093405,RG31 6,RG31
CR2 2EP,531400,161000,Unsurveyed/Urban,70,River Wandle,4830.0,Croydon,-0.11523209260051251,51.33291972925518,CR2 2,CR2
BH19 3EY,400207,79003,Leptosols,60,Unknown,1040.0,Dorset,-1.9984356733355537,50.610740746945915,BH19 3,BH19
TR14 9BE,166462,40264,Histosols,100,Red River,940.0,Cornwall,-5.2749267781816105,50.21618062009791,TR14 9,TR14
SO40 9EN,435841,112545,Unsurveyed/Urban,10,Bartley Water,830.0,New Forest,-1.4915802343117615,50.91126500613519,SO40 9,SO40
TW13 7DH,510801,171935,Unsurveyed/Urban,20,River Ash,4260.0,Hounslow,-0.4073744614850715,51.43558841801335,TW13 7,TW13
RG7 5DS,462596,172071,Luvisols,50,Unknown,850.0,West Berkshire,-1.1007146518164763,51.44417923425355,RG7 5,RG7
TN23 1ED,599949,142755,Unsurveyed/Urban,40,Great Stour,510.0,Ashford,0.8574709020610436,51.14911905498798,TN23 1,TN23
RG12 8AW,484810,168532,Planosols,70,Bull Brook,1270.0,Bracknell Forest,-0.7819972533911576,51.40947904387985,RG12 8,RG12
SM7 2GD,525237,159684,Unsurveyed/Urban,160,Unknown,5280.0,Reigate and Banstead,-0.2041119257174896,51.322481937191185,SM7 2,SM7
DA15 7ZU,544800,172600,Unsurveyed/Urban,40,Wyncham Stream,780.0,Bexley,0.08171070766262761,51.433902768043446,DA15 7,DA15
TQ12 6WJ,281468,74769,Cambisols,40,Liverton Brook,460.0,Teignbridge,-3.6748222089782265,50.56061793717787,TQ12 6,TQ12
