postcode,postcodeDistrict,postcodeSector,easting,northing,longitude,latitude,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,riskLabel,medianPrice,historicallyFlooded
BA10 0FB,BA10,BA10 0,368677,135594,-2.4489002366245693,51.11876966944093,Cambisols,90,Combe Brook,400.0,South Somerset,1,467100.0,0
BA10 0HH,BA10,BA10 0,368754,135153,-2.4477617988719453,51.11480851433169,Unsurveyed/Urban,80,Combe Brook,690.0,South Somerset,1,482400.0,0
BA10 0HJ,BA10,BA10 0,368696,135148,-2.448589928963063,51.11476037804497,Unsurveyed/Urban,80,Combe Brook,650.0,South Somerset,1,482100.0,0
BA10 0HN,BA10,BA10 0,368631,135236,-2.4495261750117874,51.11554808694701,Arenosols,80,Combe Brook,550.0,South Somerset,1,291700.0,0
BA10 0HQ,BA10,BA10 0,368545,135022,-2.4507360251317354,51.11361911399828,Unsurveyed/Urban,70,Combe Brook,680.0,South Somerset,3,479100.0,0
BA10 0HS,BA10,BA10 0,368626,135742,-2.4496417903892,51.1200976511846,Cambisols,100,Combe Brook,360.0,South Somerset,1,473700.0,0
BA10 0JF,BA10,BA10 0,371985,136808,-2.401733886910701,51.129857714934744,Stagnosols,120,Combe Brook,770.0,South Somerset,1,491900.0,0
BA10 0JT,BA10,BA10 0,372110,136728,-2.3999413764366566,51.12914449587806,Stagnosols,120,River Brue,580.0,South Somerset,1,508500.0,0
BA10 0JY,BA10,BA10 0,372131,136237,-2.399603159993405,51.12473053836788,Stagnosols,90,River Brue,500.0,South Somerset,6,500800.0,0
BA10 0LG,BA10,BA10 0,371937,135813,-2.4023420377890683,51.12090849411449,Stagnosols,130,Combe Brook,840.0,South Somerset,2,450900.0,0
BA10 0NB,BA10,BA10 0,368219,134264,-2.455325993989229,51.10678529032009,Cambisols,70,River Brue,520.0,South Somerset,1,501300.0,0
BA10 0NN,BA10,BA10 0,367448,133631,-2.4662809735513385,51.101050071009354,Cambisols,90,River Pitt,1110.0,South Somerset,1,502500.0,0
BA10 0NR,BA10,BA10 0,367260,133626,-2.468965409286301,51.100994368476684,Cambisols,80,River Pitt,1220.0,South Somerset,1,469700.0,0
BA10 0NW,BA10,BA10 0,367382,133613,-2.4672219094470487,51.10088445427635,Cambisols,90,River Pitt,1130.0,South Somerset,1,516800.0,0
BA10 0PD,BA10,BA10 0,367175,133482,-2.470166179994081,51.09969467474601,Cambisols,70,River Pitt,1170.0,South Somerset,1,447800.0,0
BA10 0PF,BA10,BA10 0,367245,133069,-2.469128912326481,51.09598508605073,Cambisols,60,River Pitt,870.0,South Somerset,5,439700.0,0
BA10 0PL,BA10,BA10 0,366632,133511,-2.4779233989138674,51.09992398002419,Cambisols,60,River Brue,2020.0,South Somerset,5,487600.0,0
BA10 0PP,BA10,BA10 0,366200,134526,-2.4841881623883775,51.10902521614207,Stagnosols,70,River Brue,1670.0,South Somerset,1,442900.0,0
BA10 0PQ,BA10,BA10 0,367230,133173,-2.4693525816725486,51.096919371580285,Cambisols,60,River Pitt,940.0,South Somerset,5,462700.0,0
BA10 0PR,BA10,BA10 0,366074,134897,-2.4860229243093834,51.112353681945265,Stagnosols,70,River Brue,1730.0,South Somerset,2,498300.0,0
BA10 0PW,BA10,BA10 0,365839,134194,-2.4893130573318807,51.106018481480774,Stagnosols,50,River Brue,1220.0,South Somerset,1,474700.0,0
BA10 0PX,BA10,BA10 0,366413,134899,-2.4811805674581624,51.11239170299077,Cambisols,90,River Brue,2020.0,South Somerset,1,437200.0,0
BA10 0PZ,BA10,BA10 0,366773,135157,-2.476061884773433,51.11473263370249,Cambisols,100,River Brue,2460.0,South Somerset,1,445600.0,0
BA10 0QN,BA10,BA10 0,371358,137482,-2.4107477211312864,51.13588704670956,Leptosols,110,Combe Brook,400.0,South Somerset,1,519500.0,0
BA10 0QP,BA10,BA10 0,368216,135426,-2.4554716013582625,51.117233569950955,Leptosols,80,Combe Brook,230.0,South Somerset,1,478900.0,0
BA10 0QQ,BA10,BA10 0,371493,138195,-2.408874937843037,51.14230495866678,Leptosols,120,Combe Brook,110.0,South Somerset,1,463600.0,0
BA11 1AA,BA11,BA11 1,377670,148098,-2.321197957396907,51.231626336028576,Unsurveyed/Urban,70,River Frome,740.0,Mendip,3,302700.0,1
BA11 1AE,BA11,BA11 1,377626,148059,-2.321825675865788,51.231273925912454,Unsurveyed/Urban,70,River Frome,800.0,Mendip,3,320900.0,0
BA11 1AF,BA11,BA11 1,377648,148078,-2.321511786474307,51.23144563552366,Unsurveyed/Urban,70,River Frome,770.0,Mendip,3,297300.0,1
BA11 1AG,BA11,BA11 1,377622,148010,-2.3218798869182113,51.23083317315759,Unsurveyed/Urban,70,River Frome,840.0,Mendip,3,291500.0,0
BA11 1AL,BA11,BA11 1,377690,148133,-2.3209137088610627,51.231941833139054,Unsurveyed/Urban,70,River Frome,700.0,Mendip,3,314100.0,1
BA11 1AQ,BA11,BA11 1,378097,147970,-2.3150746067833814,51.23049202898818,Unsurveyed/Urban,70,River Frome,860.0,Mendip,1,197600.0,0
BA11 1AX,BA11,BA11 1,378029,148063,-2.3160542104497712,51.23132563319694,Unsurveyed/Urban,70,River Frome,750.0,Mendip,3,284200.0,0
BA11 1AY,BA11,BA11 1,377849,148198,-2.3186405396272876,51.23253252259664,Unsurveyed/Urban,70,River Frome,610.0,Mendip,3,319600.0,0
BA11 1BG,BA11,BA11 1,377868,148133,-2.31836438021901,51.23194880073171,Unsurveyed/Urban,70,River Frome,670.0,Mendip,7,195400.0,0
BA11 1BL,BA11,BA11 1,377573,148106,-2.3225876916957757,51.231694446233064,Unsurveyed/Urban,70,River Frome,770.0,Mendip,3,282600.0,0
BA11 1BP,BA11,BA11 1,377457,148218,-2.3242561259848036,51.232696926002724,Unsurveyed/Urban,80,River Frome,740.0,Mendip,1,296700.0,0
BA11 1BQ,BA11,BA11 1,377956,148134,-2.3171040994479215,51.2319612166134,Unsurveyed/Urban,70,River Frome,670.0,Mendip,3,314300.0,0
BA11 1BY,BA11,BA11 1,377547,148023,-2.3229548349234035,51.230947104494774,Unsurveyed/Urban,80,River Frome,860.0,Mendip,1,313000.0,0
BA11 1BZ,BA11,BA11 1,377491,148040,-2.3237579267679274,51.231097746501874,Unsurveyed/Urban,90,River Frome,870.0,Mendip,1,200300.0,0
BA11 1DB,BA11,BA11 1,377307,148034,-2.3263927558306134,51.23103647133907,Unsurveyed/Urban,100,River Frome,970.0,Mendip,1,117300.0,0
BA11 1DE,BA11,BA11 1,377346,148101,-2.3258384645815373,51.23164047491502,Unsurveyed/Urban,90,River Frome,900.0,Mendip,1,280700.0,0
BA11 1DP,BA11,BA11 1,377652,147895,-2.321443025069881,51.229800304997354,Unsurveyed/Urban,90,River Frome,940.0,Mendip,1,304600.0,0
BA11 1EE,BA11,BA11 1,377404,147898,-2.324994922094025,51.22981746420921,Unsurveyed/Urban,100,River Frome,1030.0,Mendip,1,320600.0,0
BA11 1EU,BA11,BA11 1,377394,147783,-2.3251308435818494,51.22878301644493,Unsurveyed/Urban,100,River Frome,1140.0,Mendip,1,317800.0,0
BA11 1EZ,BA11,BA11 1,377255,147783,-2.327121473622166,51.228777465370214,Unsurveyed/Urban,100,River Frome,1210.0,Mendip,1,280700.0,0
BA11 1FD,BA11,BA11 1,377616,147622,-2.3219414535514695,51.22734414163831,Unsurveyed/Urban,110,River Frome,1220.0,Mendip,1,301800.0,0
BA11 1FH,BA11,BA11 1,378106,147428,-2.3149124214922896,51.22561884909552,Unsurveyed/Urban,90,River Frome,370.0,Mendip,1,336900.0,0
BA11 1FN,BA11,BA11 1,378214,147265,-2.3133558881661638,51.22415734773748,Planosols,80,River Frome,220.0,Mendip,1,334800.0,0
BA11 1FR,BA11,BA11 1,378237,147822,-2.313060541550257,51.22916663520139,Unsurveyed/Urban,80,River Frome,1040.0,Mendip,1,302600.0,0
BA11 1FZ,BA11,BA11 1,378324,147865,-2.3118172106760215,51.22955660908611,Unsurveyed/Urban,70,River Frome,1030.0,Mendip,1,266900.0,0
BA11 1GA,BA11,BA11 1,378336,147886,-2.3116466310865587,51.22974589388773,Unsurveyed/Urban,70,River Frome,1020.0,Mendip,1,266600.0,0
BA11 1GD,BA11,BA11 1,378295,147853,-2.312231798739076,51.229447600001905,Unsurveyed/Urban,70,River Frome,1030.0,Mendip,1,308700.0,0
BA11 1GE,BA11,BA11 1,378479,147914,-2.30960036150565,51.230003102494784,Unsurveyed/Urban,70,River Frome,1060.0,Mendip,4,288000.0,1
BA11 1GF,BA11,BA11 1,377704,147651,-2.320683050845867,51.22760836463164,Unsurveyed/Urban,100,River Frome,1170.0,Mendip,1,336800.0,0
BA11 1GJ,BA11,BA11 1,377864,147589,-2.318387884818655,51.227057137050174,Unsurveyed/Urban,100,River Frome,1220.0,Mendip,1,336600.0,0
BA11 1GL,BA11,BA11 1,377897,147692,-2.317921692801097,51.22798457250005,Unsurveyed/Urban,100,River Frome,1110.0,Mendip,1,326100.0,0
BA11 1GP,BA11,BA11 1,378307,147380,-2.312031157055839,51.22519496048604,Planosols,90,River Frome,170.0,Mendip,1,290600.0,0
BA11 1HD,BA11,BA11 1,377130,147615,-2.3289008315675632,51.22726183298866,Unsurveyed/Urban,110,River Frome,1420.0,Mendip,1,284700.0,0
BA11 1HF,BA11,BA11 1,377007,147847,-2.3306772272631853,51.229342948050004,Unsurveyed/Urban,110,River Frome,1310.0,Mendip,1,111700.0,0
BA11 1HJ,BA11,BA11 1,377163,147887,-2.3284456745996476,51.22970891295521,Unsurveyed/Urban,110,River Frome,1180.0,Mendip,1,523400.0,0
BA11 1JA,BA11,BA11 1,377649,147852,-2.3214832930568376,51.22941354211123,Unsurveyed/Urban,90,River Frome,990.0,Mendip,1,468500.0,0
BA11 1JD,BA11,BA11 1,377632,147641,-2.3217135154190434,51.227515615287935,Unsurveyed/Urban,100,River Frome,1200.0,Mendip,2,315900.0,0
BA11 1JF,BA11,BA11 1,377614,147588,-2.3219679599096983,51.22703834354146,Unsurveyed/Urban,110,River Frome,1250.0,Mendip,1,703400.0,0
BA11 1JG,BA11,BA11 1,377571,147640,-2.3225870147299896,51.2275042171797,Unsurveyed/Urban,110,River Frome,1210.0,Mendip,1,287100.0,0
BA11 1JP,BA11,BA11 1,377618,147492,-2.321904650991971,51.22617529385309,Unsurveyed/Urban,110,River Frome,1340.0,Mendip,1,310500.0,0
BA11 1JQ,BA11,BA11 1,377557,147603,-2.3227851751633777,51.227170969539166,Unsurveyed/Urban,110,River Frome,1250.0,Mendip,1,316800.0,0
BA11 1JS,BA11,BA11 1,377668,147396,-2.321182624056233,51.22531405498779,Unsurveyed/Urban,110,River Frome,1430.0,Mendip,1,304000.0,0
BA11 1JU,BA11,BA11 1,377600,147300,-2.322150353747152,51.22444816894823,Unsurveyed/Urban,100,River Frome,1540.0,Mendip,1,334500.0,0
BA11 1JW,BA11,BA11 1,377659,147452,-2.32131501313234,51.22581723871258,Unsurveyed/Urban,110,River Frome,1370.0,Mendip,1,300600.0,0
BA11 1JX,BA11,BA11 1,377576,147440,-2.322502832143035,51.22570606606851,Unsurveyed/Urban,110,River Frome,1400.0,Mendip,1,198800.0,0
BA11 1LF,BA11,BA11 1,377840,147507,-2.3187264810778827,51.226318877644275,Unsurveyed/Urban,100,River Frome,1300.0,Mendip,1,313600.0,0
BA11 1LG,BA11,BA11 1,377662,147559,-2.321278756678344,51.22677947340939,Unsurveyed/Urban,110,River Frome,1270.0,Mendip,1,283200.0,0
BA11 1LR,BA11,BA11 1,377795,147650,-2.319379802593631,51.22760293912669,Unsurveyed/Urban,100,River Frome,1160.0,Mendip,1,323900.0,0
BA11 1LS,BA11,BA11 1,377883,147595,-2.3181161665019605,51.22711182798356,Unsurveyed/Urban,100,River Frome,1210.0,Mendip,2,335600.0,0
BA11 1LW,BA11,BA11 1,377978,147514,-2.316750708201061,51.22638718921283,Unsurveyed/Urban,100,River Frome,520.0,Mendip,1,314300.0,0
BA11 1LY,BA11,BA11 1,377992,147565,-2.3165533717800346,51.22684631122279,Unsurveyed/Urban,90,River Frome,1240.0,Mendip,1,339700.0,0
BA11 1NF,BA11,BA11 1,378286,147340,-2.312329440407294,51.224834487531254,Planosols,90,River Frome,170.0,Mendip,1,327300.0,0
BA11 1NX,BA11,BA11 1,377982,147189,-2.3166733558301402,51.22346502536953,Unsurveyed/Urban,90,River Frome,460.0,Mendip,1,320000.0,0
BA11 1NY,BA11,BA11 1,377929,147185,-2.3174320386802982,51.22342700075332,Unsurveyed/Urban,90,River Frome,510.0,Mendip,1,305900.0,0
BA11 1PA,BA11,BA11 1,377927,147152,-2.3174586346943413,51.223130195176466,Unsurveyed/Urban,90,River Frome,520.0,Mendip,1,293700.0,0
BA11 1PJ,BA11,BA11 1,377793,147247,-2.319383342268324,51.22397918686312,Unsurveyed/Urban,100,River Frome,640.0,Mendip,1,326100.0,0
BA11 1PL,BA11,BA11 1,377679,147934,-2.321058789382223,51.230152044992494,Unsurveyed/Urban,80,River Frome,900.0,Mendip,1,312700.0,0
BA11 1PN,BA11,BA11 1,378107,147612,-2.3149094014456018,51.22727336963743,Unsurveyed/Urban,90,River Frome,480.0,Mendip,1,430800.0,0
BA11 1PQ,BA11,BA11 1,378087,147594,-2.315194707495358,51.22711074656283,Unsurveyed/Urban,90,River Frome,480.0,Mendip,1,299100.0,0
BA11 1PS,BA11,BA11 1,377714,148059,-2.320565352100877,51.23127738729241,Unsurveyed/Urban,70,River Frome,770.0,Mendip,6,293200.0,1
BA11 1PT,BA11,BA11 1,377808,147906,-2.319209570721256,51.22990533350688,Unsurveyed/Urban,70,River Frome,900.0,Mendip,1,333400.0,0
BA11 1PU,BA11,BA11 1,377776,147849,-2.3196643028685324,51.229391552500275,Unsurveyed/Urban,80,River Frome,960.0,Mendip,1,475400.0,0
BA11 1PZ,BA11,BA11 1,377986,147769,-2.3166518929026725,51.22868039486554,Unsurveyed/Urban,90,River Frome,1040.0,Mendip,1,279600.0,0
BA11 1QD,BA11,BA11 1,377778,147738,-2.319628740547334,51.228393547426286,Unsurveyed/Urban,90,River Frome,1070.0,Mendip,1,336800.0,0
BA11 1QE,BA11,BA11 1,377700,147800,-2.3207496545390707,51.22894797709415,Unsurveyed/Urban,90,River Frome,1030.0,Mendip,1,314600.0,0
BA11 1QR,BA11,BA11 1,378037,147690,-2.3159166510964835,51.22797202224683,Unsurveyed/Urban,90,River Frome,1120.0,Mendip,1,325900.0,0
BA11 1QS,BA11,BA11 1,378138,147647,-2.3144676085419404,51.22758927544132,Unsurveyed/Urban,80,River Frome,480.0,Mendip,1,311100.0,0
BA11 1RD,BA11,BA11 1,378400,147500,-2.3107066693837957,51.22627751692687,Planosols,80,River Frome,240.0,Mendip,1,328700.0,0
BA11 1RE,BA11,BA11 1,378408,147563,-2.3105959229437625,51.226844301718664,Luvisols,80,River Frome,300.0,Mendip,1,284000.0,0
BA11 1RL,BA11,BA11 1,378343,147737,-2.311537327450759,51.22840639043864,Unsurveyed/Urban,80,River Frome,480.0,Mendip,1,362200.0,0
BA11 1RN,BA11,BA11 1,378260,147834,-2.312731885491176,51.22927541746692,Unsurveyed/Urban,80,River Frome,1030.0,Mendip,1,326100.0,0
BA11 1RP,BA11,BA11 1,378248,147773,-2.312900017748103,51.22872646116651,Unsurveyed/Urban,80,River Frome,1090.0,Mendip,1,316400.0,0
BA11 1RT,BA11,BA11 1,378128,147848,-2.314623149565948,51.22939623140943,Unsurveyed/Urban,80,River Frome,980.0,Mendip,1,323500.0,0
BA11 1RX,BA11,BA11 1,377976,147835,-2.3167991815218514,51.2292734621392,Unsurveyed/Urban,80,River Frome,970.0,Mendip,1,297900.0,0
BA11 1WG,BA11,BA11 1,377963,147985,-2.316994631860068,51.23062171905868,Unsurveyed/Urban,70,River Frome,820.0,Mendip,1,334600.0,1
BA11 1XB,BA11,BA11 1,374700,148700,-2.3637767721142535,51.236914782995456,Leptosols,100,Fordbury Water,1460.0,Mendip,1,335100.0,0
BA11 1XD,BA11,BA11 1,376800,148400,-2.3336777143688505,51.23430695233488,Arenosols,110,River Frome,1170.0,Mendip,2,313800.0,0
BA11 1XF,BA11,BA11 1,376700,148100,-2.3350903834174335,51.23160534073858,Unsurveyed/Urban,130,River Frome,1390.0,Mendip,1,316900.0,0
BA11 1XS,BA11,BA11 1,377742,147713,-2.3201427344328387,51.22816734366716,Unsurveyed/Urban,90,River Frome,1100.0,Mendip,1,283000.0,0
BA11 1YE,BA11,BA11 1,377800,148600,-2.319367373977691,51.23614528541289,Unsurveyed/Urban,70,River Frome,230.0,Mendip,3,292600.0,0
BA11 1YY,BA11,BA11 1,379900,151600,-2.289457673424661,51.26319876288835,Cambisols,70,River Frome,920.0,Mendip,1,339700.0,0
BA11 2AD,BA11,BA11 2,378174,148690,-2.3140159429406304,51.23696904717646,Unsurveyed/Urban,80,River Frome,290.0,Mendip,2,428000.0,0
BA11 2AF,BA11,BA11 2,378281,148458,-2.312469170477932,51.23488706913558,Unsurveyed/Urban,80,River Frome,510.0,Mendip,1,434700.0,0
BA11 2AL,BA11,BA11 2,378338,148215,-2.3116379867080776,51.2327042544238,Unsurveyed/Urban,70,River Frome,730.0,Mendip,1,385600.0,0
BA11 2AN,BA11,BA11 2,378515,148172,-2.3091003432686183,51.232324337152626,Unsurveyed/Urban,70,River Frome,880.0,Mendip,1,458600.0,0
BA11 2AT,BA11,BA11 2,378354,148435,-2.3114221944927986,51.234683048012556,Unsurveyed/Urban,80,River Frome,580.0,Mendip,1,431400.0,0
BA11 2AX,BA11,BA11 2,378502,148280,-2.3092930478918583,51.23329495334153,Unsurveyed/Urban,80,River Frome,800.0,Mendip,1,318800.0,0
BA11 2BU,BA11,BA11 2,379070,148408,-2.301165380678382,51.23446712965887,Planosols,80,River Frome,1230.0,Mendip,1,506000.0,0
BA11 2BW,BA11,BA11 2,379077,148366,-2.3010626537372554,51.23408973433029,Planosols,80,River Frome,1250.0,Mendip,1,456400.0,0
BA11 2DD,BA11,BA11 2,379241,148786,-2.298738198346123,51.23787229223004,Planosols,90,River Frome,1340.0,Mendip,1,490000.0,0
BA11 2DH,BA11,BA11 2,378722,148461,-2.3061529061731605,51.234930750146965,Planosols,90,River Frome,890.0,Mendip,1,436900.0,0
BA11 2DL,BA11,BA11 2,379374,148792,-2.296833461624173,51.23793109359633,Planosols,90,River Frome,1470.0,Mendip,1,291500.0,0
BA11 2DP,BA11,BA11 2,378960,148481,-2.3027452086658418,51.235119459298275,Planosols,90,River Frome,1110.0,Mendip,1,228200.0,0
BA11 2DS,BA11,BA11 2,379230,149251,-2.298922882765052,51.2420530498856,Leptosols,90,River Frome,1400.0,Mendip,1,425100.0,0
BA11 2DU,BA11,BA11 2,379265,149312,-2.298425051767721,51.2426028263958,Leptosols,90,River Frome,1450.0,Mendip,1,456000.0,0
BA11 2EH,BA11,BA11 2,378431,148502,-2.310323384723139,51.23528842620396,Leptosols,80,River Frome,610.0,Mendip,1,607400.0,0
BA11 2EJ,BA11,BA11 2,378983,148777,-2.3024332426626732,51.23778186815275,Leptosols,90,River Frome,1080.0,Mendip,1,482800.0,0
BA11 2FA,BA11,BA11 2,377578,148613,-2.3225479805328257,51.23625345164492,Arenosols,60,River Frome,380.0,Mendip,3,478900.0,0
BA11 2FE,BA11,BA11 2,379605,149567,-2.2935690199391776,51.24490804717218,Leptosols,90,River Frome,1150.0,Mendip,1,502700.0,0
BA11 2FF,BA11,BA11 2,378186,148315,-2.3138211002788047,51.233597607119485,Unsurveyed/Urban,70,River Frome,570.0,Mendip,1,481300.0,0
BA11 2FP,BA11,BA11 2,379647,149494,-2.2929631485768813,51.24425315892817,Leptosols,90,River Frome,1230.0,Mendip,1,416000.0,0
BA11 2HD,BA11,BA11 2,378159,148710,-2.3142320236275706,51.23714830478433,Unsurveyed/Urban,80,River Frome,270.0,Mendip,2,460600.0,0
BA11 2HF,BA11,BA11 2,378133,148780,-2.3146087362328878,51.23777672490126,Unsurveyed/Urban,80,River Frome,230.0,Mendip,2,427400.0,0
BA11 2HL,BA11,BA11 2,378266,149294,-2.3127350217595435,51.24240358363739,Cambisols,90,River Frome,610.0,Mendip,2,490300.0,0
BA11 2HS,BA11,BA11 2,378179,149184,-2.313974585835439,51.24141115456074,Leptosols,90,River Frome,470.0,Mendip,2,279600.0,0
BA11 2HT,BA11,BA11 2,378115,149281,-2.3148973471296,51.242280887235296,Cambisols,90,River Frome,520.0,Mendip,2,433600.0,0
BA11 2HX,BA11,BA11 2,378210,149400,-2.313543725549049,51.243354558753516,Cambisols,90,River Frome,670.0,Mendip,2,628800.0,0
BA11 2JB,BA11,BA11 2,377891,149191,-2.318100624229202,51.241462948681175,Cambisols,90,River Frome,390.0,Mendip,2,450100.0,0
BA11 2JH,BA11,BA11 2,377965,148538,-2.3170001823367246,51.23559422769157,Unsurveyed/Urban,80,River Frome,270.0,Mendip,2,421500.0,0
BA11 2JJ,BA11,BA11 2,377882,148563,-2.318190560308088,51.23581579267613,Unsurveyed/Urban,70,River Frome,240.0,Mendip,2,467200.0,0
BA11 2JN,BA11,BA11 2,378083,148720,-2.3153212394564044,51.2372352921954,Unsurveyed/Urban,70,River Frome,200.0,Mendip,2,435000.0,0
BA11 2JP,BA11,BA11 2,377812,148641,-2.319198046618859,51.23651441560626,Unsurveyed/Urban,70,River Frome,190.0,Mendip,3,437300.0,0
BA11 2JS,BA11,BA11 2,378052,148776,-2.3157687246730645,51.237737631182625,Unsurveyed/Urban,70,River Frome,150.0,Mendip,2,504200.0,0
BA11 2JW,BA11,BA11 2,377953,148708,-2.3171825801384984,51.23712235623213,Unsurveyed/Urban,70,River Frome,110.0,Mendip,3,293200.0,0
BA11 2JY,BA11,BA11 2,378091,148904,-2.3152179655207563,51.23889007971141,Unsurveyed/Urban,80,River Frome,210.0,Mendip,1,501500.0,0
BA11 2LB,BA11,BA11 2,377504,148892,-2.323625527347476,51.23875921501214,Cambisols,90,River Frome,410.0,Mendip,2,419900.0,0
BA11 2LD,BA11,BA11 2,379784,149538,-2.2910029949208943,51.24465369547905,Leptosols,80,River Frome,1240.0,Mendip,1,477700.0,0
BA11 2LH,BA11,BA11 2,377804,148678,-2.319314939472371,51.23684679683033,Unsurveyed/Urban,70,River Frome,160.0,Mendip,5,452400.0,0
BA11 2LJ,BA11,BA11 2,377774,148700,-2.3197460196196635,51.23704344088609,Unsurveyed/Urban,70,River Frome,170.0,Mendip,5,429600.0,0
BA11 2LR,BA11,BA11 2,377533,148754,-2.3232014241583654,51.23751950571209,Cambisols,70,River Frome,370.0,Mendip,1,443900.0,0
BA11 2LS,BA11,BA11 2,377409,148936,-2.3249891142932286,51.23915107750358,Cambisols,80,River Frome,510.0,Mendip,1,483100.0,0
BA11 2LT,BA11,BA11 2,377581,148718,-2.3225116167393516,51.23719770151462,Arenosols,70,River Frome,330.0,Mendip,3,476600.0,0
BA11 2NA,BA11,BA11 2,378874,149482,-2.3040363706219376,51.24411699460291,Leptosols,90,River Frome,1180.0,Mendip,1,471600.0,0
BA11 2NE,BA11,BA11 2,378980,150442,-2.3025745177241292,51.252752989591,Cambisols,60,River Frome,370.0,Mendip,1,473700.0,0
BA11 2NG,BA11,BA11 2,378749,150360,-2.3058795173932793,51.2520070596197,Cambisols,60,River Frome,180.0,Mendip,3,462200.0,0
BA11 2NL,BA11,BA11 2,378185,149742,-2.3139228172043196,51.24642876710585,Cambisols,90,River Frome,980.0,Mendip,2,460900.0,0
BA11 2NN,BA11,BA11 2,378915,150229,-2.303493254748826,51.250835340128326,Cambisols,70,River Frome,160.0,Mendip,1,310400.0,0
BA11 2NS,BA11,BA11 2,377697,149668,-2.320909548466458,51.24574440687566,Cambisols,70,River Frome,890.0,Mendip,1,450000.0,0
