postcode,easting,northing,soilType,elevation,nearestWatercourse,distanceToWatercourse,localAuthority,riskLabel,medianPrice,historicallyFlooded
BA11 1AG,377622,148010,Unsurveyed/Urban,70,River Frome,840.0,Mendip,3,291500.0,0
BA11 1AL,377690,148133,Unsurveyed/Urban,70,River Frome,700.0,Mendip,3,314100.0,1
BA11 1AQ,378097,147970,Unsurveyed/Urban,70,River Frome,860.0,Mendip,1,197600.0,0
BA11 1AX,378029,148063,Unsurveyed/Urban,70,River Frome,750.0,Mendip,3,284200.0,0
BA11 1AY,377849,148198,Unsurveyed/Urban,70,River Frome,610.0,Mendip,3,319600.0,0
BA11 1BG,377868,148133,Unsurveyed/Urban,70,River Frome,670.0,Mendip,7,195400.0,0
BA11 1BL,377573,148106,Unsurveyed/Urban,70,River Frome,770.0,Mendip,3,282600.0,0
BA11 1BP,377457,148218,Unsurveyed/Urban,80,River Frome,740.0,Mendip,1,296700.0,0
BA11 1BQ,377956,148134,Unsurveyed/Urban,70,River Frome,670.0,Mendip,3,314300.0,0
BA11 1BY,377547,148023,Unsurveyed/Urban,80,River Frome,860.0,Mendip,1,313000.0,0
BA11 1BZ,377491,148040,Unsurveyed/Urban,90,River Frome,870.0,Mendip,1,200300.0,0
BA11 1DB,377307,148034,Unsurveyed/Urban,100,River Frome,970.0,Mendip,1,117300.0,0
BA11 1DE,377346,148101,Unsurveyed/Urban,90,River Frome,900.0,Mendip,1,280700.0,0
BA11 1DP,377652,147895,Unsurveyed/Urban,90,River Frome,940.0,Mendip,1,304600.0,0
BA11 1EE,377404,147898,Unsurveyed/Urban,100,River Frome,1030.0,Mendip,1,320600.0,0
BA11 1EU,377394,147783,Unsurveyed/Urban,100,River Frome,1140.0,Mendip,1,317800.0,0
BA11 1EZ,377255,147783,Unsurveyed/Urban,100,River Frome,1210.0,Mendip,1,280700.0,0
BA11 1FD,377616,147622,Unsurveyed/Urban,110,River Frome,1220.0,Mendip,1,301800.0,0
BA11 1FH,378106,147428,Unsurveyed/Urban,90,River Frome,370.0,Mendip,1,336900.0,0
BA11 1FN,378214,147265,Planosols,80,River Frome,220.0,Mendip,1,334800.0,0
BA11 1FR,378237,147822,Unsurveyed/Urban,80,River Frome,1040.0,Mendip,1,302600.0,0
BA11 1FZ,378324,147865,Unsurveyed/Urban,70,River Frome,1030.0,Mendip,1,266900.0,0
BA11 1GA,378336,147886,Unsurveyed/Urban,70,River Frome,1020.0,Mendip,1,266600.0,0
BA11 1GD,378295,147853,Unsurveyed/Urban,70,River Frome,1030.0,Mendip,1,308700.0,0
BA11 1GE,378479,147914,Unsurveyed/Urban,70,River Frome,1060.0,Mendip,4,288000.0,1
BA11 1GF,377704,147651,Unsurveyed/Urban,100,River Frome,1170.0,Mendip,1,336800.0,0
BA11 1GJ,377864,147589,Unsurveyed/Urban,100,River Frome,1220.0,Mendip,1,336600.0,0
BA11 1GL,377897,147692,Unsurveyed/Urban,100,River Frome,1110.0,Mendip,1,326100.0,0
BA11 1GP,378307,147380,Planosols,90,River Frome,170.0,Mendip,1,290600.0,0
BA11 1HD,377130,147615,Unsurveyed/Urban,110,River Frome,1420.0,Mendip,1,284700.0,0
BA11 1HF,377007,147847,Unsurveyed/Urban,110,River Frome,1310.0,Mendip,1,111700.0,0
BA11 1HJ,377163,147887,Unsurveyed/Urban,110,River Frome,1180.0,Mendip,1,523400.0,0
BA11 1JA,377649,147852,Unsurveyed/Urban,90,River Frome,990.0,Mendip,1,468500.0,0
BA11 1JD,377632,147641,Unsurveyed/Urban,100,River Frome,1200.0,Mendip,2,315900.0,0
BA11 1JF,377614,147588,Unsurveyed/Urban,110,River Frome,1250.0,Mendip,1,703400.0,0
BA11 1JG,377571,147640,Unsurveyed/Urban,110,River Frome,1210.0,Mendip,1,287100.0,0
BA11 1JP,377618,147492,Unsurveyed/Urban,110,River Frome,1340.0,Mendip,1,310500.0,0
BA11 1JQ,377557,147603,Unsurveyed/Urban,110,River Frome,1250.0,Mendip,1,316800.0,0
BA11 1JS,377668,147396,Unsurveyed/Urban,110,River Frome,1430.0,Mendip,1,304000.0,0
BA11 1JU,377600,147300,Unsurveyed/Urban,100,River Frome,1540.0,Mendip,1,334500.0,0
BA11 1JW,377659,147452,Unsurveyed/Urban,110,River Frome,1370.0,Mendip,1,300600.0,0
BA11 1JX,377576,147440,Unsurveyed/Urban,110,River Frome,1400.0,Mendip,1,198800.0,0
BA11 1LF,377840,147507,Unsurveyed/Urban,100,River Frome,1300.0,Mendip,1,313600.0,0
BA11 1LG,377662,147559,Unsurveyed/Urban,110,River Frome,1270.0,Mendip,1,283200.0,0
BA11 1LR,377795,147650,Unsurveyed/Urban,100,River Frome,1160.0,Mendip,1,323900.0,0
BA11 1LS,377883,147595,Unsurveyed/Urban,100,River Frome,1210.0,Mendip,2,335600.0,0
BA11 1LW,377978,147514,Unsurveyed/Urban,100,River Frome,520.0,Mendip,1,314300.0,0
BA11 1LY,377992,147565,Unsurveyed/Urban,90,River Frome,1240.0,Mendip,1,339700.0,0
BA11 1NF,378286,147340,Planosols,90,River Frome,170.0,Mendip,1,327300.0,0
BA11 1NX,377982,147189,Unsurveyed/Urban,90,River Frome,460.0,Mendip,1,320000.0,0
BA11 1NY,377929,147185,Unsurveyed/Urban,90,River Frome,510.0,Mendip,1,305900.0,0
BA11 1PA,377927,147152,Unsurveyed/Urban,90,River Frome,520.0,Mendip,1,293700.0,0
BA11 1PJ,377793,147247,Unsurveyed/Urban,100,River Frome,640.0,Mendip,1,326100.0,0
BA11 1PL,377679,147934,Unsurveyed/Urban,80,River Frome,900.0,Mendip,1,312700.0,0
BA11 1PN,378107,147612,Unsurveyed/Urban,90,River Frome,480.0,Mendip,1,430800.0,0
BA11 1PQ,378087,147594,Unsurveyed/Urban,90,River Frome,480.0,Mendip,1,299100.0,0
BA11 1PS,377714,148059,Unsurveyed/Urban,70,River Frome,770.0,Mendip,6,293200.0,1
BA11 1PT,377808,147906,Unsurveyed/Urban,70,River Frome,900.0,Mendip,1,333400.0,0
BA11 1PU,377776,147849,Unsurveyed/Urban,80,River Frome,960.0,Mendip,1,475400.0,0
BA11 1PZ,377986,147769,Unsurveyed/Urban,90,River Frome,1040.0,Mendip,1,279600.0,0
BA11 1QD,377778,147738,Unsurveyed/Urban,90,River Frome,1070.0,Mendip,1,336800.0,0
BA11 1QE,377700,147800,Unsurveyed/Urban,90,River Frome,1030.0,Mendip,1,314600.0,0
BA11 1QR,378037,147690,Unsurveyed/Urban,90,River Frome,1120.0,Mendip,1,325900.0,0
BA11 1QS,378138,147647,Unsurveyed/Urban,80,River Frome,480.0,Mendip,1,311100.0,0
BA11 1RD,378400,147500,Planosols,80,River Frome,240.0,Mendip,1,328700.0,0
BA11 1RE,378408,147563,Luvisols,80,River Frome,300.0,Mendip,1,284000.0,0
BA11 1RL,378343,147737,Unsurveyed/Urban,80,River Frome,480.0,Mendip,1,362200.0,0
BA11 1RN,378260,147834,Unsurveyed/Urban,80,River Frome,1030.0,Mendip,1,326100.0,0
BA11 1RP,378248,147773,Unsurveyed/Urban,80,River Frome,1090.0,Mendip,1,316400.0,0
BA11 1RT,378128,147848,Unsurveyed/Urban,80,River Frome,980.0,Mendip,1,323500.0,0
BA11 1RX,377976,147835,Unsurveyed/Urban,80,River Frome,970.0,Mendip,1,297900.0,0
BA11 1WG,377963,147985,Unsurveyed/Urban,70,River Frome,820.0,Mendip,1,334600.0,1
BA11 1XB,374700,148700,Leptosols,100,Fordbury Water,1460.0,Mendip,1,335100.0,0
BA11 1XD,376800,148400,Arenosols,110,River Frome,1170.0,Mendip,2,313800.0,0
BA11 1XF,376700,148100,Unsurveyed/Urban,130,River Frome,1390.0,Mendip,1,316900.0,0
BA11 1XS,377742,147713,Unsurveyed/Urban,90,River Frome,1100.0,Mendip,1,283000.0,0
BA11 1YE,377800,148600,Unsurveyed/Urban,70,River Frome,230.0,Mendip,3,292600.0,0
BA11 1YY,379900,151600,Cambisols,70,River Frome,920.0,Mendip,1,339700.0,0
BA11 2AD,378174,148690,Unsurveyed/Urban,80,River Frome,290.0,Mendip,2,428000.0,0
BA11 2AF,378281,148458,Unsurveyed/Urban,80,River Frome,510.0,Mendip,1,434700.0,0
BA11 2AL,378338,148215,Unsurveyed/Urban,70,River Frome,730.0,Mendip,1,385600.0,0
BA11 2AN,378515,148172,Unsurveyed/Urban,70,River Frome,880.0,Mendip,1,458600.0,0
BA11 2AT,378354,148435,Unsurveyed/Urban,80,River Frome,580.0,Mendip,1,431400.0,0
BA11 2AX,378502,148280,Unsurveyed/Urban,80,River Frome,800.0,Mendip,1,318800.0,0
BA11 2BU,379070,148408,Planosols,80,River Frome,1230.0,Mendip,1,506000.0,0
BA11 2BW,379077,148366,Planosols,80,River Frome,1250.0,Mendip,1,456400.0,0
BA11 2DD,379241,148786,Planosols,90,River Frome,1340.0,Mendip,1,490000.0,0
BA11 2DH,378722,148461,Planosols,90,River Frome,890.0,Mendip,1,436900.0,0
BA11 2DL,379374,148792,Planosols,90,River Frome,1470.0,Mendip,1,291500.0,0
BA11 2DP,378960,148481,Planosols,90,River Frome,1110.0,Mendip,1,228200.0,0
BA11 2DS,379230,149251,Leptosols,90,River Frome,1400.0,Mendip,1,425100.0,0
BA11 2DU,379265,149312,Leptosols,90,River Frome,1450.0,Mendip,1,456000.0,0
BA11 2EH,378431,148502,Leptosols,80,River Frome,610.0,Mendip,1,607400.0,0
BA11 2EJ,378983,148777,Leptosols,90,River Frome,1080.0,Mendip,1,482800.0,0
BA11 2FA,377578,148613,Arenosols,60,River Frome,380.0,Mendip,3,478900.0,0
BA11 2FE,379605,149567,Leptosols,90,,1150.0,Mendip,1,502700.0,0
BA11 2FF,378186,148315,Unsurveyed/Urban,70,River Frome,570.0,Mendip,1,481300.0,0
BA11 2FP,379647,149494,Leptosols,90,,1230.0,Mendip,1,416000.0,0
BA11 2HD,378159,148710,Unsurveyed/Urban,80,River Frome,270.0,Mendip,2,460600.0,0
BA11 2HF,378133,148780,Unsurveyed/Urban,80,River Frome,230.0,Mendip,2,427400.0,0
BA11 2HL,378266,149294,Cambisols,90,River Frome,610.0,Mendip,2,490300.0,0
BA11 2HS,378179,149184,Leptosols,90,River Frome,470.0,Mendip,2,279600.0,0
BA11 2HT,378115,149281,Cambisols,90,River Frome,520.0,Mendip,2,433600.0,0
BA11 2HX,378210,149400,Cambisols,90,River Frome,670.0,Mendip,2,628800.0,0
BA11 2JB,377891,149191,Cambisols,90,River Frome,390.0,Mendip,2,450100.0,0
BA11 2JH,377965,148538,Unsurveyed/Urban,80,River Frome,270.0,Mendip,2,421500.0,0
BA11 2JJ,377882,148563,Unsurveyed/Urban,70,River Frome,240.0,Mendip,2,467200.0,0
BA11 2JN,378083,148720,Unsurveyed/Urban,70,River Frome,200.0,Mendip,2,435000.0,0
BA11 2JP,377812,148641,Unsurveyed/Urban,70,River Frome,190.0,Mendip,3,437300.0,0
BA11 2JS,378052,148776,Unsurveyed/Urban,70,River Frome,150.0,Mendip,2,504200.0,0
BA11 2JW,377953,148708,Unsurveyed/Urban,70,River Frome,110.0,Mendip,3,293200.0,0
BA11 2JY,378091,148904,Unsurveyed/Urban,80,River Frome,210.0,Mendip,1,501500.0,0
BA11 2LB,377504,148892,Cambisols,90,River Frome,410.0,Mendip,2,419900.0,0
BA11 2LD,379784,149538,Leptosols,80,,1240.0,Mendip,1,477700.0,0
BA11 2LH,377804,148678,Unsurveyed/Urban,70,River Frome,160.0,Mendip,5,452400.0,0
BA11 2LJ,377774,148700,Unsurveyed/Urban,70,River Frome,170.0,Mendip,5,429600.0,0
BA11 2LR,377533,148754,Cambisols,70,River Frome,370.0,Mendip,1,443900.0,0
BA11 2LS,377409,148936,Cambisols,80,River Frome,510.0,Mendip,1,483100.0,0
BA11 2LT,377581,148718,Arenosols,70,River Frome,330.0,Mendip,3,476600.0,0
BA11 2NA,378874,149482,Leptosols,90,River Frome,1180.0,Mendip,1,471600.0,0
BA11 2NE,378980,150442,Cambisols,60,,370.0,Mendip,1,473700.0,0
BA11 2NG,378749,150360,Cambisols,60,,180.0,Mendip,3,462200.0,0
BA11 2NL,378185,149742,Cambisols,90,River Frome,980.0,Mendip,2,460900.0,0
BA11 2NN,378915,150229,Cambisols,70,,160.0,Mendip,1,310400.0,0
BA11 2NS,377697,149668,Cambisols,70,River Frome,890.0,Mendip,1,450000.0,0
BA11 2NT,377411,149538,Cambisols,70,River Frome,880.0,Mendip,3,458400.0,0
BA11 2NY,377199,149624,Cambisols,60,River Frome,1080.0,Mendip,6,458800.0,0
BA11 2PF,379137,152210,Cambisols,70,River Frome,90.0,Mendip,1,477500.0,0
BA11 2PG,378444,151903,Cambisols,70,River Frome,850.0,Mendip,1,454800.0,0
BA11 2PL,381924,150078,Planosols,70,,170.0,Mendip,1,442700.0,0
BA11 2PQ,378379,151908,Cambisols,70,River Frome,910.0,Mendip,1,451700.0,0
BA11 2PU,382043,150631,Planosols,60,,1090.0,Mendip,1,470800.0,0
BA11 2PY,382296,149999,Planosols,70,,500.0,Mendip,1,500100.0,0
BA11 2QA,383278,150808,Planosols,60,,180.0,Wiltshire,1,435400.0,0
BA11 2QL,375578,150894,Cambisols,80,Buckland Brook,210.0,Mendip,4,437800.0,0
BA11 2QR,375321,151194,Cambisols,110,Buckland Brook,410.0,Mendip,1,204400.0,0
BA11 2QS,375481,151306,Cambisols,110,Buckland Brook,340.0,Mendip,1,479000.0,0
BA11 2QZ,375308,151230,Cambisols,110,Buckland Brook,440.0,Mendip,1,462800.0,0
BA11 2RB,374020,150764,Cambisols,140,Lydes Water,1460.0,Mendip,1,428500.0,0
BA11 2RG,373306,151494,Leptosols,160,Hardington Brook,1420.0,Mendip,1,456900.0,0
BA11 2RJ,372068,151352,Cambisols,150,Hardington Brook,2540.0,Mendip,1,440500.0,0
BA11 2RL,371988,150957,Cambisols,130,,1430.0,Mendip,1,421200.0,0
BA11 2SA,378326,149033,Leptosols,80,River Frome,480.0,Mendip,2,504100.0,0
BA11 2SE,378545,148956,Leptosols,80,River Frome,660.0,Mendip,1,208300.0,0
BA11 2SG,378805,149175,Leptosols,90,River Frome,980.0,Mendip,1,343200.0,0
BA11 2SL,377658,148979,Cambisols,90,River Frome,300.0,Mendip,1,463000.0,0
BA11 2SN,378858,149288,Leptosols,90,River Frome,1070.0,Mendip,2,266700.0,0
BA11 2SP,377520,148970,Cambisols,90,River Frome,420.0,Mendip,1,248700.0,0
BA11 2SQ,378922,149184,Leptosols,90,River Frome,1090.0,Mendip,1,465700.0,0
BA11 2SR,377595,149070,Cambisols,90,River Frome,410.0,Mendip,1,337600.0,0
BA11 2SS,377513,149079,Cambisols,90,River Frome,480.0,Mendip,1,480300.0,0
BA11 2SW,378903,149301,Leptosols,90,River Frome,1120.0,Mendip,1,459500.0,0
BA11 2TD,379048,148866,Arenosols,90,River Frome,1150.0,Mendip,1,202900.0,0
BA11 2TE,378935,148826,Leptosols,90,River Frome,1030.0,Mendip,1,426900.0,0
BA11 2TN,378632,149061,Leptosols,80,River Frome,770.0,Mendip,1,491600.0,0
BA11 2TY,378624,149124,Leptosols,80,River Frome,790.0,Mendip,1,419800.0,0
BA11 2TZ,378668,149177,Leptosols,80,River Frome,850.0,Mendip,1,232500.0,0
BA11 2UA,378781,149335,Leptosols,90,River Frome,1030.0,Mendip,1,473300.0,0
BA11 2UD,378722,149434,Cambisols,90,River Frome,1030.0,Mendip,1,499900.0,0
BA11 2UF,378611,149333,Cambisols,90,River Frome,880.0,Mendip,1,211800.0,0
BA11 2UG,378619,149392,Cambisols,90,River Frome,930.0,Mendip,1,190200.0,0
BA11 2UP,378888,148963,Leptosols,90,River Frome,1000.0,Mendip,1,289500.0,0
BA11 2UX,378828,148954,Leptosols,80,River Frome,940.0,Mendip,1,460400.0,0
BA11 2UZ,378853,149016,Leptosols,80,River Frome,970.0,Mendip,1,467500.0,0
BA11 2XN,379420,149123,Leptosols,90,River Frome,1550.0,Mendip,1,457000.0,0
BA11 2XT,379177,149120,Leptosols,90,River Frome,1310.0,Mendip,1,179500.0,0
BA11 2XY,379527,149160,Cambisols,90,River Frome,1660.0,Mendip,1,392200.0,0
BA11 2YG,378588,149013,Leptosols,80,River Frome,720.0,Mendip,1,459600.0,0
BA11 2YX,379450,149650,Leptosols,90,,870.0,Mendip,1,445400.0,0
BA11 3AJ,377500,148400,Arenosols,80,River Frome,570.0,Mendip,1,344500.0,0
BA11 3AY,377141,148052,Unsurveyed/Urban,110,River Frome,1070.0,Mendip,1,135500.0,0
BA11 3BA,377199,148054,Unsurveyed/Urban,100,River Frome,1030.0,Mendip,2,355900.0,0
BA11 3BE,377066,148175,Unsurveyed/Urban,110,River Frome,1050.0,Mendip,1,342600.0,0
BA11 3BG,377222,147989,Unsurveyed/Urban,100,River Frome,1060.0,Mendip,1,377000.0,0
BA11 3BL,377153,148117,Unsurveyed/Urban,110,River Frome,1020.0,Mendip,1,278100.0,0
BA11 3BU,377168,148203,Unsurveyed/Urban,100,River Frome,950.0,Mendip,1,387900.0,0
BA11 3BW,377408,148172,Unsurveyed/Urban,90,River Frome,800.0,Mendip,1,328400.0,0
BA11 3BZ,377450,148148,Unsurveyed/Urban,80,River Frome,800.0,Mendip,1,319000.0,0
BA11 3DB,377420,148250,Unsurveyed/Urban,90,River Frome,740.0,Mendip,1,309600.0,0
BA11 3DF,377284,148255,Unsurveyed/Urban,100,River Frome,830.0,Mendip,1,360800.0,0
BA11 3DH,377299,148321,Unsurveyed/Urban,100,River Frome,770.0,Mendip,1,365900.0,0
BA11 3DJ,377385,148222,Unsurveyed/Urban,90,River Frome,780.0,Mendip,1,369500.0,0
BA11 3DL,377336,148197,Unsurveyed/Urban,100,River Frome,830.0,Mendip,1,327600.0,0
BA11 3DY,377286,148079,Unsurveyed/Urban,100,River Frome,950.0,Mendip,1,313500.0,0
BA11 3EF,376877,148437,Unsurveyed/Urban,110,River Frome,1090.0,Mendip,2,149800.0,0
BA11 3EL,376576,148745,Cambisols,110,Mells River,970.0,Mendip,1,377700.0,0
BA11 3EP,376987,148403,Unsurveyed/Urban,100,River Frome,1000.0,Mendip,1,359500.0,0
BA11 3ET,376856,148320,Unsurveyed/Urban,110,River Frome,1150.0,Mendip,1,330900.0,0
BA11 3HA,377019,148066,Unsurveyed/Urban,110,River Frome,1150.0,Mendip,1,347700.0,0
BA11 3HB,376991,148107,Unsurveyed/Urban,110,River Frome,1150.0,Mendip,1,342500.0,0
BA11 3HJ,376546,148156,Unsurveyed/Urban,130,,1330.0,Mendip,1,348800.0,0
BA11 3HP,376618,148224,Unsurveyed/Urban,130,,1420.0,Mendip,2,293300.0,0
BA11 3JE,376460,148189,Unsurveyed/Urban,130,,1310.0,Mendip,1,368200.0,0
BA11 3JU,374315,147363,Leptosols,110,Fordbury Water,970.0,Mendip,1,2015600.0,0
BA11 3LN,372141,147201,Cambisols,150,Fordbury Water,1510.0,Mendip,1,492200.0,0
BA11 3LU,371350,146020,Stagnosols,150,,2510.0,Mendip,1,330400.0,0
BA11 3LX,372800,145100,Leptosols,120,,560.0,Mendip,3,368500.0,0
BA11 3NA,376572,148530,Arenosols,120,River Frome,1360.0,Mendip,1,349900.0,0
BA11 3NG,376512,148439,Arenosols,120,,1560.0,Mendip,1,268600.0,0
BA11 3NW,375590,149474,Leptosols,80,Mells River,340.0,Mendip,4,336600.0,0
BA11 3NZ,374443,149229,Leptosols,100,Mells Stream,410.0,Mendip,1,511800.0,0
BA11 3PA,373710,149052,Leptosols,120,Fordbury Water,1190.0,Mendip,1,333600.0,0
BA11 3PG,373048,149092,Leptosols,100,Fordbury Water,1290.0,Mendip,3,327000.0,0
BA11 3PH,373235,148785,Leptosols,110,Fordbury Water,940.0,Mendip,1,339600.0,0
BA11 3PL,373114,149153,Leptosols,100,Fordbury Water,1330.0,Mendip,3,314700.0,0
BA11 3PU,372620,148969,Leptosols,100,Fordbury Water,1400.0,Mendip,3,313500.0,0
BA11 3PX,372533,148951,Leptosols,100,Fordbury Water,1440.0,Mendip,3,336000.0,0
BA11 3PY,372307,149231,Leptosols,110,Fordbury Water,1800.0,Mendip,1,301000.0,0
BA11 3PZ,372347,149143,Leptosols,110,Fordbury Water,1700.0,Mendip,1,233400.0,0
BA11 3QA,372423,148908,Leptosols,100,Fordbury Water,1480.0,Mendip,1,314200.0,0
BA11 3QB,371977,148928,Leptosols,110,,680.0,Mendip,1,316800.0,0
BA11 3QH,371660,149133,Leptosols,100,Mells Stream,330.0,Mendip,1,363400.0,0
BA11 3RD,370228,147433,Leptosols,160,,1660.0,Mendip,1,344100.0,0
BA11 3RF,371781,150474,Leptosols,120,,1110.0,Mendip,1,344700.0,0
BA11 3RP,369585,151532,Leptosols,130,,600.0,Mendip,1,351500.0,0
BA11 3RZ,373257,150097,Cambisols,130,,1060.0,Mendip,1,347900.0,0
BA11 3SD,377007,148514,Cambisols,90,River Frome,940.0,Mendip,1,233100.0,0
BA11 3SE,377058,148494,Cambisols,90,River Frome,900.0,Mendip,1,185200.0,0
BA11 3YF,375980,148348,Cambisols,90,Egford Brook,430.0,Mendip,2,373100.0,0
BA11 4AT,377447,147098,Unsurveyed/Urban,100,River Frome,1770.0,Mendip,1,320500.0,0
BA11 4AY,377597,147203,Unsurveyed/Urban,100,River Frome,1630.0,Mendip,1,363000.0,0
BA11 4BN,377347,146964,Luvisols,100,River Frome,1920.0,Mendip,1,377600.0,0
BA11 4BP,377011,146913,Planosols,110,River Frome,1480.0,Mendip,1,143900.0,0
BA11 4BR,376823,147215,Unsurveyed/Urban,110,,990.0,Mendip,1,316100.0,0
BA11 4BT,377046,146792,Planosols,110,River Frome,1360.0,Mendip,1,347000.0,0
BA11 4BU,376979,146811,Planosols,110,River Frome,1420.0,Mendip,1,316000.0,0
BA11 4BW,377500,146800,Cambisols,100,River Frome,1160.0,Mendip,1,330900.0,0
BA11 4BZ,377462,146984,Cambisols,100,River Frome,1010.0,Mendip,1,336900.0,0
BA11 4DB,376908,146678,Planosols,110,River Frome,1360.0,Mendip,1,356000.0,0
BA11 4DF,376941,147236,Unsurveyed/Urban,110,River Frome,1840.0,Mendip,2,378500.0,0
BA11 4DH,376906,146491,Planosols,110,River Frome,1240.0,Mendip,1,341700.0,0
BA11 4DJ,376554,146294,Cambisols,110,,1010.0,Mendip,1,352500.0,0
